"","WRModel.Properties.Player_Name","WRP"
"1","Brandin Cooks",22.2782944920038
"2","Ty Montgomery",21.6593805582846
"3","Tyler Lockett",13.5355318458262
"4","Golden Tate",10.1614764733866
"5","Jarvis Landry",15.4768796126264
"6","Jordy Nelson",13.9098827734194
"7","Cameron Meredith",17.1567101233324
"8","Deonte Thompson",NA
"9","DeSean Jackson",13.9081059579223
"10","Alshon Jeffery",18.5624094720787
"11","Odell Beckham",18.7893686355579
"12","John Brown",8.55800752986468
"13","Eli Rogers",9.89990474508216
"14","Michael Thomas",12.8226181172515
"15","Aldrick Robinson",NA
"16","Robby Anderson",NA
"17","Michael Crabtree",14.0774123302406
"18","DeAndre Hopkins",12.9477180985807
"19","Rishard Matthews",8.85615722964283
"20","Ted Ginn",9.82814542865326
"21","Dez Bryant",12.2933269411613
"22","Demaryius Thomas",11.6329585788054
"23","Brandon LaFell",10.7708876543926
"24","Sterling Shepard",17.2012186562574
"25","Willie Snead",10.8607654124704
"26","Taylor Gabriel",NA
"27","Jamarcus Nelson",12.7301954146924
"28","Pierre Garcon",13.6814511430067
"29","Doug Baldwin",14.7919836834601
"30","Jeremy Maclin",7.2643219306183
"31","Travis Benjamin",11.8204684650434
"32","Julian Edelman",11.8987348556079
"33","Adam Humphries",8.25521124456722
"34","Tyreek Hill",17.8524135067671
"35","Kenny Stills",8.33394210455112
"36","Steve Smith",13.4966451593701
"37","Phillip Dorsett",4.32428644589554
"38","Dontrelle Inman",13.4861146353491
"39","Larry Fitzgerald",15.6856756786591
"40","Quincy Enunwa",8.40540910698811
"41","Mike Evans",13.0813816360886
"42","Kamar Aiken",6.75010103140196
"43","Cordarrelle Patterson",11.0191149674154
"44","Rod Streater",NA
"45","Kenny Britt",9.33152685332567
"46","Cole Beasley",5.73959597476514
"47","Antonio Brown",19.952007710165
"48","Jordan Matthews",10.0980014508228
"49","Mike Wallace",13.3767446350673
"50","Josh Bellamy",NA
"51","Will Fuller",11.1180185147241
"52","Jeremy Kerley",NA
"53","Emmanuel Sanders",7.86887294100274
"54","Brian Quick",4.84358191444012
"55","T.Y. Hilton",13.3427113328012
"56","Mohamed Sanu",NA
"57","Marquise Goodwin",6.9120965012963
"58","Philly Brown",6.16061158306794
"59","Marvin Jones",12.8628179982924
"60","Terrance Williams",6.8080778563651
"61","Marqise Lee",5.63648501074151
"62","Tyrell Williams",14.6236786308996
"63","Terrelle Pryor",9.65228190141458
"64","Tavon Austin",2.15050984904137
"65","Chris Harper",NA
"66","Chester Rogers",NA
"67","Corey Coleman",9.14609604816153
"68","Jamison Crowder",15.5099874649269
"69","Seth Roberts",NA
"70","Davante Adams",9.30754470953878
"71","Anquan Boldin",11.5896662245872
"72","Andrew Hawkins",6.19063173688382
"73","Kelvin Benjamin",12.3298047107887
"74","Victor Cruz",8.99299884295562
"75","Kendall Wright",8.13911200732047
"76","Charone Peake",NA
"77","Amari Cooper",14.7492005690789
"78","Freddie Martino",NA
"79","Allen Robinson",7.11041625608484
"80","Stefon Diggs",5.22085907529982
"81","Andre Holmes",NA
"82","Tyler Boyd",9.15238251829138
"83","Cody Core",NA
"84","Brittan Golden",NA
"85","Chris Conley",NA
"86","Cobi Hamilton",4.69489142266248
"87","Tajae Sharpe",4.84339087589379
"88","Russell Shepard",5.99026044045917
"89","Sammie Coates",4.89045399337259
"90","Chris Hogan",4.36533212142455
"91","DeVante Parker",6.93323013140325
"92","Brandon Marshall",13.8619982334655
"93","Justin Hunter",3.59940312490319
"94","Justin Hardy",NA
"95","Jordan Taylor",NA
"96","Malcolm Mitchell",2.57180648640656
"97","Quinton Patton",NA
"98","Keith Mumphery",2.93684161763364
"99","Dorial Green-Beckham",-1.21886052612993
"100","Nelson Agholor",5.13330071119796
"101","Sammy Watkins",7.70402749816266
"102","Robert Woods",5.86830726454199
"103","James Wright",NA
"104","Bryce Treggs",NA
"105","Jordan Norwood",NA
"106","Jermaine Kearse",NA
"107","Roger Lewis",NA
"108","Paul Turner",3.09050248327346
"109","Breshad Perriman",2.73523590641325
"110","Randall Cobb",8.69598643998918
"111","Adam Thielen",8.73079612740317
"112","Albert Wilson",5.78529306331934
"113","Brandon Coleman",6.60467049628993
"114","Alex Erickson",NA
"115","Devin Funchess",6.90873022332966
"116","Ryan Grant",NA
