"","V1","PP","Position","Salary","Proj$/Pt.","ActualPoints","Actual$/Pt.","OwnershipPred","NA","ProjPlusMinus","OppPlusMinus","Team"
"1","Falcons",10.9016592278905,"D",2200,201.804143205245,0,Inf,20,26.7,2.49,-7.3,"ATL"
"2","Packers",10.5512463907779,"D",2000,189.551065905168,0,Inf,50,29.65,2.53,-6.2,"GB"
"3","Patriots",8.88493652449007,"D",4000,450.200177454793,0,Inf,8,35.6,0.99,-5.1,"NE"
"4","Steelers",4.27013940266025,"D",2300,538.624101725374,0,Inf,40,23.3,0.58,-6.9,"PIT"
