"","RBModel.Properties.Player_Name","RBP","RBModel.Properties.Position","RBModel.Properties.Salary","RBModel.Properties.Salary.RBP","RBModel.ActualPoints","RBModel.Properties.Salary.RBModel.ActualPoints","c.RBModel.Properties.OwnRank.","naRB","RBModel.Properties.ProjPlusMinus","RBModel.Properties.OppPlusMinus","RBModel.TeamName"
"1","Aaron Ripkowski",6.09764308507631,"RB",3000,491.993374840577,0,Inf,90,42.7,-2.07,-0.7,"GB"
"2","Ty Montgomery",17.1356584262436,"RB",5600,326.803899838684,0,Inf,50,75.1,2.45,-0.7,"GB"
"3","Christine Michael",7.38390141051214,"RB",3300,446.918209837137,0,Inf,90,47.7,-1.73,-0.7,"GB"
"4","Tevin Coleman",11.8250741853341,"RB",4800,405.917115171518,0,Inf,40,63.8,0.02,-1.4,"ATL"
"5","Devonta Freeman",19.3081866092154,"RB",7200,372.898819848963,0,Inf,50,74.25,1.1,-1.4,"ATL"
"6","Le'Veon Bell",24.8202265307831,"RB",10300,414.984125435983,0,Inf,20,68.8,-2.29,-2.7,"PIT"
"7","DeAngelo Williams",1.56859355579122,"RB",3000,1912.54132654316,0,Inf,90,32.95,-2.37,-2.7,"PIT"
"8","LeGarrette Blount",9.72827503831595,"RB",4400,452.289844054582,0,Inf,50,60.2,-0.15,-2,"NE"
"9","Dion Lewis",15.1825620295302,"RB",5300,349.084692668568,0,Inf,50,82.7,4.7,-2,"NE"
"10","James White",7.44806508816829,"RB",3200,429.641787782359,0,Inf,70,56.55,1.26,-2,"NE"
