"","TEModel.Properties.Player_Name","TEP","TEModel.Properties.Position","TEModel.Properties.Salary","TEModel.Properties.Salary.TEP","TEModel.ActualPoints","TEModel.Properties.Salary.TEModel.ActualPoints","c.TEModel.Properties.OwnRank.","naTE","TEModel.Properties.ProjPlusMinus","TEModel.Properties.OppPlusMinus","TEModel.TeamName"
"1","Will Tye",6.71538152670585,"TE",4600,684.994587680035,8.6,534.883720930233,80,69.59,2.12,1.1,"NYG"
"2","Jared Cook",4.22933458836762,"TE",5200,1229.50783187079,7.3,712.328767123288,20,63.79,1.16,0.2,"GB"
"3","Dion Sims",11.0531571039062,"TE",5000,452.359443821981,5.9,847.457627118644,90,39.46,0.38,1.1,"MIA"
"4","Jimmy Graham",9.09617159245131,"TE",6600,725.579979766122,5.2,1269.23076923077,20,78.81,1.82,-0.1,"SEA"
"5","C.J. Fiedorowicz",4.68601475100682,"TE",5300,1131.02503547631,4.5,1177.77777777778,50,74.62,1.95,0.2,"HOU"
"6","Ryan Griffin",7.4206871251992,"TE",4500,606.4128461526,4.4,1022.72727272727,90,58.7,0.03,0.2,"HOU"
"7","Eric Ebron",3.14227886836317,"TE",5700,1813.9701276638,3.3,1727.27272727273,40,78.95,2.11,-0.2,"DET"
"8","Clive Walford",2.85969592161457,"TE",4500,1573.59387968051,2.6,1730.76923076923,90,53.57,-0.07,-0.8,"OAK"
"9","Jesse James",3.49267467418851,"TE",4500,1288.41086553403,1.1,4090.90909090909,70,70.77,1.83,3.9,"PIT"
"10","Luke Willson",10.1420625855927,"TE",4500,443.696729538276,0.9,5000,90,42.62,-1.47,-0.1,"SEA"
"11","Xavier Grimble",0.0149058798772934,"TE",4500,301894.288498527,0,Inf,90,59.14,0.53,3.9,"PIT"
"12","Richard Rodgers",15.8863649310202,"TE",4700,295.851191912547,0,Inf,90,29.32,-1.49,0.2,"GB"
