"","RBModel.Properties.Player_Name","RBP","RBModel.Properties.Position","RBModel.Properties.Salary","RBModel.Properties.Salary.RBP","RBModel.ActualPoints","RBModel.Properties.Salary.RBModel.ActualPoints","c.RBModel.Properties.OwnRank.","naRB","RBModel.Properties.ProjPlusMinus","RBModel.Properties.OppPlusMinus","RBModel.TeamName"
"1","Le'Veon Bell",30.3254937689622,"RB",10300,339.648220684272,34.4,299.418604651163,50,82.95,2.51,1,"PIT"
"2","Thomas Rawls",11.4789319374658,"RB",5700,496.561877973674,26.2,217.557251908397,60,54.2,-3.04,-2.3,"SEA"
"3","Zach Zenner",10.9673579992373,"RB",4500,410.308480886002,14.8,304.054054054054,8,80,5.07,-1.2,"DET"
"4","Lamar Miller",14.4480841771236,"RB",6100,422.20130539234,13.3,458.646616541353,30,77.55,2.53,1.6,"HOU"
"5","Latavius Murray",10.0347768658397,"RB",5000,498.267182902789,12.1,413.223140495868,50,59.55,0.55,-2.2,"OAK"
"6","Ty Montgomery",12.7336266051655,"RB",5500,431.927224705087,9.8,561.224489795918,60,75.2,2.43,-0.5,"GB"
"7","Aaron Ripkowski",3.42320186159421,"RB",4100,1197.70909393307,9.2,445.652173913043,90,42.05,-3.9,-0.5,"GB"
"8","Damien Williams",5.19611122001604,"RB",3600,692.825816763192,8.8,409.090909090909,90,43.55,-1.98,-0.4,"MIA"
"9","Paul Perkins",8.15298417824127,"RB",4100,502.883350484367,8.7,471.264367816092,40,62.05,-0.1,1.1,"NYG"
"10","Jay Ajayi",15.3402881127942,"RB",6800,443.277202488042,7.5,906.666666666667,40,66.7,-0.76,-0.4,"MIA"
"11","Christine Michael",2.56864259931333,"RB",3400,1323.65631595027,4.7,723.404255319149,90,42.75,-2.61,-0.5,"GB"
"12","Rashad Jennings",9.09300718497871,"RB",4200,461.893399461757,4.3,976.744186046512,70,71.55,2.12,1.1,"NYG"
"13","Alex Collins",10.5621016916308,"RB",4500,426.051569221846,3.4,1323.52941176471,90,53.65,-1.03,-2.3,"SEA"
"14","Jalen Richard",6.24917963818566,"RB",3400,544.071413665927,3.1,1096.77419354839,80,45.2,-0.41,-2.2,"OAK"
"15","DeAndre Washington",5.95918525308052,"RB",3300,553.7669764997,1.6,2062.5,80,49.25,1.07,-2.2,"OAK"
"16","Alfred Blue",5.18965296418903,"RB",4300,828.571781132951,0.4,10750,90,52.35,-2.96,1.6,"HOU"
"17","DeAngelo Williams",3.10454339304157,"RB",5600,1803.80793277094,0.2,28000,90,44.5,-8.35,1,"PIT"
"18","Kenyan Drake",4.46944941539851,"RB",3000,671.223616417754,0,Inf,90,41.05,-1.67,-0.4,"MIA"
"19","Dwayne Washington",0.727013783361426,"RB",3400,4676.6651166911,0,Inf,90,38.75,-2.11,-1.2,"DET"
