"","QBModel.Properties.Player_Name","QBP","QBModel.Properties.Position","QBModel.Properties.Salary","QBModel.Properties.Salary.QBP","QBModel.ActualPoints","QBModel.Properties.Salary.QBModel.ActualPoints","c.QBModel.Properties.OwnRank.","naQB","QBModel.Properties.ProjPlusMinus","QBModel.Properties.OppPlusMinus","QBModel.TeamName"
"1","Aaron Rodgers",28.0146553494284,"QB",7900,281.995259319197,33.5,235.820895522388,30,46.74,2.12,-4,"GB"
"2","Brock Osweiler",13.8834398356154,"QB",5100,367.34412079324,18.2,280.21978021978,80,43.8,-0.24,0,"HOU"
"3","Russell Wilson",21.8418595758353,"QB",7000,320.485532639558,16.7,419.161676646707,50,48.82,1.82,0,"SEA"
"4","Eli Manning",13.2242041836255,"QB",6100,461.275394367638,15.1,403.973509933775,60,50.67,1.12,5.9,"NYG"
"5","Ben Roethlisberger",26.3226465742394,"QB",7600,288.724767039106,14.9,510.06711409396,20,58.67,2.52,5.9,"PIT"
"6","Matt Moore",8.08655076818098,"QB",5100,630.67680475927,12.8,398.4375,60,43.75,1.06,-2.3,"MIA"
"7","Matthew Stafford",13.9535229415578,"QB",5700,408.498987952619,9.7,587.628865979381,70,46.42,1.16,-2.7,"DET"
"8","Connor Cook",-1.49807471357293,"QB",5000,-3337.6172461218,7.4,675.675675675676,80,27.45,-0.61,-1.2,"OAK"
