"","QBModel.Properties.Player_Name","QBP","QBModel.Properties.Position","QBModel.Properties.Salary","QBModel.Properties.Salary.QBP","QBModel.ActualPoints","QBModel.Properties.Salary.QBModel.ActualPoints","c.QBModel.Properties.OwnRank.","naQB","QBModel.Properties.ProjPlusMinus","QBModel.Properties.OppPlusMinus","QBModel.TeamName"
"1","Aaron Rodgers",10.0276037475706,"QB",6700,668.155640037453,40.2,166.666666666667,60,71.45,3.22,-0.9,"GB"
"2","Russell Wilson",-1.39333680843771,"QB",6300,-4521.51982338277,37.6,167.553191489362,80,63.75,3.46,1.1,"SEA"
"3","Tyrod Taylor",9.24779695331011,"QB",5400,583.922855060864,34.2,157.894736842105,80,81.54,3.46,2.8,"BUF"
"4","Kirk Cousins",22.3168646296819,"QB",6800,304.702300831088,29.8,228.187919463087,90,50.38,1.99,-3.4,"WAS"
"5","Sam Bradford",16.8493736818263,"QB",5000,296.74693519279,29.8,167.785234899329,90,50.64,1.89,3.3,"MIN"
"6","Blake Bortles",13.9192189347455,"QB",5000,359.215558246511,29.7,168.350168350168,80,65.93,3.29,5.1,"JAX"
"7","Colin Kaepernick",16.1743609412764,"QB",5700,352.409595698697,27.1,210.332103321033,90,56.44,1.06,0.6,"SF"
"8","Andrew Luck",7.99018839538842,"QB",7000,876.074462028967,26.7,262.172284644195,70,70.83,4.72,-0.3,"IND"
"9","Dak Prescott",27.9813677704779,"QB",5900,210.854596115379,24,245.833333333333,50,65.29,2.29,-3.9,"DAL"
"10","Alex Smith",2.20670173326737,"QB",5000,2265.82502049188,23.4,213.675213675214,90,54.66,2.79,-4.6,"KC"
"11","Philip Rivers",11.2615885854089,"QB",6900,612.702190962649,22.9,301.310043668122,70,51.33,1.45,-0.9,"SD"
"12","Derek Carr",11.1629502433297,"QB",6800,609.157960196344,21.9,310.502283105023,70,48.8,1.39,-4.2,"OAK"
"13","Ben Roethlisberger",9.59367455059656,"QB",6700,698.37682784261,21.1,317.535545023697,90,58.35,2.22,0.4,"PIT"
"14","Tom Brady",28.7064717748491,"QB",7700,268.23219726871,20.6,373.78640776699,60,52.03,1.89,-1.5,"NE"
"15","Matt Ryan",9.65902485878333,"QB",7200,745.416861977818,20,360,70,57.26,3.75,-1.3,"ATL"
"16","Matt Barkley",6.39137590362485,"QB",5000,782.304166644973,18.9,264.550264550265,70,62.59,3.59,5.7,"CHI"
"17","Jameis Winston",NA,"QB",6500,NA,18.5,351.351351351351,70,62.15,3.59,-0.6,"TB"
"18","Eli Manning",23.5232320853392,"QB",5800,246.564756873476,18.2,318.681318681319,50,64.17,1.93,2.6,"NYG"
"19","Matt Moore",-33.655031994507,"QB",5200,-154.508841377679,16.2,320.987654320988,90,37.55,-0.17,2.1,"MIA"
"20","Drew Brees",NA,"QB",7400,NA,16.1,459.627329192547,50,64.68,4.49,1.1,"NO"
"21","Joe Flacco",21.5765077790405,"QB",5800,268.810877988056,15.5,374.193548387097,90,45.78,1.23,-3,"BAL"
"22","Carson Palmer",5.17219868076803,"QB",5500,1063.37755748843,15.3,359.477124183007,90,37.68,-0.67,-0.7,"ARI"
"23","Matthew Stafford",0.296190065308891,"QB",6100,20594.8838751172,14.5,420.689655172414,50,71.28,3.32,1,"DET"
"24","Andy Dalton",1.98682912024354,"QB",5300,2667.56710277647,13.7,386.861313868613,90,65.14,1.99,-0.9,"CIN"
"25","Cam Newton",12.1397549555618,"QB",6600,543.668305016011,13.5,488.888888888889,70,56.97,1.66,1,"CAR"
"26","Carson Wentz",-7.31785474841864,"QB",5000,-683.260350457281,11.8,423.728813559322,50,47.62,1.29,-3.4,"PHI"
"27","Robert Griffin",32.8533177018403,"QB",5100,155.235463470842,10.8,472.222222222222,90,46.05,0.36,-0.9,"CLE"
"28","Tom Savage",3.96477361641602,"QB",5000,1261.10605137647,8.1,617.283950617284,90,42.67,1.19,-0.1,"HOU"
"29","Trevor Siemian",12.4251290849267,"QB",5300,426.554924602723,6.3,841.269841269841,90,45.89,2.19,0.5,"DEN"
"30","Jared Goff",4.41587746222712,"QB",5000,1132.27779592378,6,833.333333333333,90,47.37,0.69,2.1,"LA"
"31","Bryce Petty",28.7076531806527,"QB",5000,174.169583578838,-1,-5000,90,32.29,-0.41,1.9,"NYJ"
