"","TEModel.Properties.Player_Name","TEP","TEModel.Properties.Position","TEModel.Properties.Salary","TEModel.Properties.Salary.TEP","TEModel.ActualPoints","TEModel.Properties.Salary.TEModel.ActualPoints","c.TEModel.Properties.OwnRank.","naTE","TEModel.Properties.ProjPlusMinus","TEModel.Properties.OppPlusMinus","TEModel.TeamName"
"1","Travis Kelce",7.42161962261123,"TE",5000,673.70739195076,36,138.888888888889,90,55.35,3.17,-0.3,"KC"
"2","Charles Clay",6.98411512977897,"TE",3200,458.182595867556,28.5,112.280701754386,90,56.95,2.79,4.6,"BUF"
"3","Antonio Gates",10.8536926873816,"TE",4400,405.391982870071,23.4,188.034188034188,80,53.68,2.91,5.9,"SD"
"4","Eric Ebron",13.8206525397439,"TE",3600,260.479741433881,17.3,208.092485549133,50,82.46,4.63,2.4,"DET"
"5","Dennis Pitta",10.1625629066612,"TE",3000,295.201124711721,15.5,193.548387096774,90,63.13,3.67,-0.7,"BAL"
"6","Jimmy Graham",2.77350129968198,"TE",4500,1622.49788760365,12.3,365.853658536585,60,61.32,3.02,-2.5,"SEA"
"7","Greg Olsen",27.8796527831993,"TE",5200,186.515952707044,11.9,436.974789915966,50,74.65,7.19,4.9,"CAR"
"8","Kyle Rudolph",14.3116458168378,"TE",4900,342.378512067083,11.3,433.628318584071,70,54.31,2.46,1.3,"MIN"
"9","Delanie Walker",27.8302212188243,"TE",4300,154.508293922274,11.3,380.530973451327,60,82.28,4.2,1.7,"TEN"
"10","Jason Witten",12.5592626495033,"TE",3400,270.716529694875,11.3,300.884955752212,50,65.63,4.11,0.9,"DAL"
"11","Richard Rodgers",6.13595940975202,"TE",2500,407.43424671726,10,250,90,47.04,-1.58,2.3,"GB"
"12","Clive Walford",14.7447867914414,"TE",2500,169.551451327267,10,250,90,60.93,1.32,2.8,"OAK"
"13","Martellus Bennett",3.34824001830647,"TE",4100,1224.52392229448,9.9,414.141414141414,90,56.08,1.88,2.9,"NE"
"14","Jack Doyle",14.2670377531868,"TE",2800,196.256577464693,9.6,291.666666666667,90,55.43,2.75,1,"IND"
"15","Gary Barnidge",4.88815746855029,"TE",2800,572.812970534358,9.2,304.347826086957,90,66.59,3.35,2.3,"CLE"
"16","Xavier Grimble",10.5050251960843,"TE",2500,237.981342579918,9,277.777777777778,90,46.99,-0.48,0.3,"PIT"
"17","Jesse James",15.9197366837046,"TE",2500,157.03777327919,8.9,280.898876404494,90,71.13,3.62,0.3,"PIT"
"18","Cameron Brate",NA,"TE",3900,NA,8.2,475.609756097561,40,66.65,5.76,1.2,"TB"
"19","C.J. Fiedorowicz",11.4821602229754,"TE",3700,322.239014971801,8.2,451.219512195122,90,58.39,3.24,4.7,"HOU"
"20","Garrett Celek",6.82101575032837,"TE",2900,425.156619798216,7.9,367.088607594937,90,41.47,1.56,-1.5,"SF"
"21","C.J. Uzomah",0.880070241609064,"TE",2500,2840.68234761485,7.8,320.51282051282,90,71.8,5.22,1.1,"CIN"
"22","Will Tye",17.7315183681948,"TE",2800,157.910898652785,7.3,383.561643835616,50,49.72,1.75,-2.5,"NYG"
"23","Jared Cook",7.49130150975382,"TE",3000,400.464458157763,6.7,447.761194029851,90,57.38,1.77,2.3,"GB"
"24","Lance Kendricks",9.55843463554061,"TE",2900,303.396958872019,6.6,439.393939393939,90,60.34,3.06,0.3,"LA"
"25","Jeff Heuerman",3.12582629227318,"TE",2500,799.78852509489,6.2,403.225806451613,90,56.22,2.42,-1.8,"DEN"
