"","TEModel.Properties.Player_Name","TEP","TEModel.Properties.Position","TEModel.Properties.Salary","TEModel.Properties.Salary.TEP","TEModel.ActualPoints","TEModel.Properties.Salary.TEModel.ActualPoints","c.TEModel.Properties.OwnRank.","naTE","TEModel.Properties.ProjPlusMinus","TEModel.Properties.OppPlusMinus","TEModel.TeamName"
"26","Dwayne Allen",8.89316842953747,"TE",2600,292.359244132209,6.1,426.229508196721,90,75.27,2.33,1,"IND"
"27","Jermaine Gresham",5.85853082871358,"TE",2500,426.728146201281,6,416.666666666667,90,70.93,3.72,-0.3,"ARI"
"28","Zach Ertz",10.2864487317995,"TE",5300,515.240987262748,5.3,1000,50,56.96,3.4,3.7,"PHI"
"29","Coby Fleener",NA,"TE",3100,NA,5,620,80,65.43,3.78,1.1,"NO"
"30","Daniel Brown",11.4455203420697,"TE",2500,218.426067604011,3.9,641.025641025641,90,73.23,3.12,8.6,"CHI"
"31","John Phillips",NA,"TE",2500,NA,3.5,714.285714285714,90,39.12,-2.18,1.1,"NO"
"32","Ben Koyack",3.74262408591201,"TE",2500,667.980524523022,3.2,781.25,90,59.94,2.02,0.7,"JAX"
"33","Dion Sims",5.28066301678017,"TE",2600,492.362415806135,3,866.666666666667,90,64.33,1.83,1.3,"MIA"
"34","Austin Seferian-Jenkins",3.87586870713873,"TE",2500,645.016688876844,2.7,925.925925925926,90,43.1,-1.58,-0.7,"NYJ"
"35","Vernon Davis",1.30211187106206,"TE",3000,2303.94950439479,2.3,1304.34782608696,40,71.56,6.37,2.5,"WAS"
"36","Darren Waller",2.94927342632294,"TE",2500,847.666404100389,2.1,1190.47619047619,90,39.46,-2.08,-0.7,"BAL"
"37","Levine Toilolo",6.86251441445252,"TE",2500,364.297959758741,2,1250,90,60.12,0.12,1.8,"ATL"
"38","Jerell Adams",8.94649492409123,"TE",2500,279.439045258716,1.9,1315.78947368421,50,36.83,-1.98,-2.5,"NYG"
"39","Trey Burton",5.99605725822256,"TE",2500,416.940648218741,1.3,1923.07692307692,50,50.2,-0.98,3.7,"PHI"
"40","Hunter Henry",8.06628275262173,"TE",3500,433.904948207081,0,Inf,90,51.36,1.42,5.9,"SD"
"41","Luke Willson",0.0731627576954926,"TE",2500,34170.3904930038,0,Inf,90,36.24,-2.08,-2.5,"SEA"
"42","Tyler Kroft",-1.99645641592535,"TE",2500,-1252.2186710704,0,Inf,90,55.39,1.22,1.1,"CIN"
"43","Ryan Griffin",9.48557257909718,"TE",3300,347.896763477623,0,Inf,90,44.69,1,4.7,"HOU"
"44","Je'Ron Hamm",2.73873285326819,"TE",2500,912.830909015715,0,Inf,90,42.81,-0.68,-1.5,"SF"
"45","Derek Carrier",2.86506711845035,"TE",2500,872.579907081617,0,Inf,90,41.09,-2.08,2.5,"WAS"
"46","Austin Hooper",7.89061325824217,"TE",2500,316.832154634954,0,Inf,50,63.47,2.12,1.8,"ATL"
