"","V1","PP","Position","Salary","Proj$/Pt.","ActualPoints","Actual$/Pt.","OwnershipPred","NA","ProjPlusMinus","OppPlusMinus","Team"
"1","Lions",-22.4710316522054,"D",4300,-191.357480446519,3,1433.33333333333,80,54.7,-3.51,-1.3,"DET"
"2","Packers",-19.0103598168648,"D",4600,-241.973326350149,10,460,40,58.25,-2.29,-1.5,"GB"
"3","Texans",-29.7114578048417,"D",4800,-161.553836621837,10,480,20,51.15,0.66,-2.9,"HOU"
"4","Dolphins",-87.6459034805099,"D",4100,-46.7791401216114,4,1025,80,24.45,-1.96,-5.5,"MIA"
"5","Giants",-73.8898244203822,"D",4400,-59.5481182221659,1,4400,80,29.3,-2.43,-4.8,"NYG"
"6","Raiders",-8.62901519096036,"D",4700,-544.673974490584,0,Inf,40,65.85,-2.61,-0.6,"OAK"
"7","Steelers",-52.6019874177347,"D",4700,-89.3502361930797,18,261.111111111111,70,41.45,-2.41,-3.8,"PIT"
