"","TEModel.Properties.Player_Name","TEP","TEModel.Properties.Position","TEModel.Properties.Salary","TEModel.Properties.Salary.TEP","TEModel.ActualPoints","TEModel.Properties.Salary.TEModel.ActualPoints","c.TEModel.Properties.OwnRank.","naTE","TEModel.Properties.ProjPlusMinus","TEModel.Properties.OppPlusMinus","TEModel.TeamName"
"1","Luke Willson",2.09040740217886,"TE",2500,1195.93912526057,0,Inf,90,44.43,-1.58,3.4,"SEA"
"2","Jimmy Graham",11.3380091762166,"TE",4900,432.174636996996,0,Inf,60,67.88,3.46,3.4,"SEA"
"3","Levine Toilolo",1.53420300277495,"TE",2500,1629.51056377689,0,Inf,90,43.48,-2.18,-1.1,"ATL"
"4","Austin Hooper",2.86246275298456,"TE",2900,1013.11361937419,0,Inf,90,35.32,-0.14,-1.1,"ATL"
"5","Ryan Griffin",8.14392237665993,"TE",2600,319.256481060216,0,Inf,90,38.17,0.23,-0.4,"HOU"
"6","C.J. Fiedorowicz",8.9716765713637,"TE",3600,401.262793120595,0,Inf,70,58.26,2.83,-0.4,"HOU"
"7","Martellus Bennett",7.15257237057869,"TE",4000,559.23936071637,0,Inf,60,58.14,2.07,-0.6,"NE"
"8","Jesse James",3.00294190754311,"TE",2800,932.418969866405,0,Inf,90,40.91,0.65,1.8,"PIT"
"9","Travis Kelce",6.45713332149079,"TE",6100,944.691660569842,0,Inf,40,62.66,4.98,1.3,"KC"
"10","Richard Rodgers",3.93324546383553,"TE",2500,635.607419619855,0,Inf,90,53.75,-0.58,7.2,"GB"
"11","Jared Cook",1.26812480044525,"TE",3900,3075.40708819092,0,Inf,8,58.33,3.26,7.2,"GB"
"12","Jason Witten",11.2900400636935,"TE",3500,310.007757302411,0,Inf,50,55.77,3.52,0.4,"DAL"
