"","WRModel.Properties.Player_Name","WRP","WRModel.Properties.Position","WRModel.Properties.Salary","WRModel.Properties.Salary.WRP","WRModel.ActualPoints","WRModel.Properties.Salary.WRModel.ActualPoints","c.WRModel.Properties.OwnRank.","naWR","WRModel.Properties.ProjPlusMinus","WRModel.Properties.OppPlusMinus","WRModel.TeamName"
"107","Chris Harper",3.04962935818955,"WR",3000,983.726101646983,1.1,2727.27272727273,90,47.15,-0.28,1.6,"SF"
"108","Kamar Aiken",8.80834768082038,"WR",3000,340.586010987317,0,Inf,90,38.25,-0.98,-1.8,"BAL"
"109","Maurice Harris",1.19561173323503,"WR",3000,2509.17577722555,0,Inf,90,30.8,-3.38,-0.4,"WAS"
"110","Freddie Martino",3.14287700439148,"WR",3000,954.539422258063,0,Inf,90,35.8,-2.08,-0.5,"TB"
"111","Brandon Coleman",2.62216162205991,"WR",3000,1144.09423689272,0,Inf,90,34.1,-3.18,0,"NO"
"112","Justin Hardy",1.19454379999298,"WR",3100,2595.13297044295,0,Inf,90,33.7,-3.51,1,"ATL"
"113","Trevor Davis",2.08151522314849,"WR",3000,1441.25777541142,0,Inf,50,29.1,-3.08,-1.3,"GB"
"114","Robby Anderson",8.99204178484629,"WR",4800,533.805348646081,0,Inf,50,64.45,1.79,-0.8,"NYJ"
"115","Arrelious Benn",4.73156552945852,"WR",3000,634.0396178225,0,Inf,90,40.9,-1.98,1.7,"JAX"
"116","Seth Roberts",6.90079286178297,"WR",3000,434.732654651061,0,Inf,90,60.25,1.32,-1,"OAK"
"117","Brian Quick",5.22853655601176,"WR",3300,631.151750522938,0,Inf,90,59,1.03,0.6,"LA"
"118","Pharoh Cooper",3.8623956845965,"WR",3000,776.720006177566,0,Inf,90,31.15,-3.48,0.6,"LA"
