"","QBModel.Properties.Player_Name","QBP","QBModel.Properties.Position","QBModel.Properties.Salary","QBModel.Properties.Salary.QBP","QBModel.ActualPoints","QBModel.Properties.Salary.QBModel.ActualPoints","c.QBModel.Properties.OwnRank.","naQB","QBModel.Properties.ProjPlusMinus","QBModel.Properties.OppPlusMinus","QBModel.TeamName"
"1","Dak Prescott",30.3132484264664,"QB",6000,197.933257286983,31.4,191.082802547771,30,81.03,3.96,4.1,"DAL"
"2","Matt Ryan",21.7723402798783,"QB",7000,321.508846087129,28.2,248.22695035461,40,72.79,6.32,-2.9,"ATL"
"3","Aaron Rodgers",28.3182651487366,"QB",8200,289.565761070848,25.8,317.829457364341,50,57.02,3.82,0.3,"GB"
"4","Russell Wilson",14.9504508281519,"QB",6900,461.524543929283,19.9,346.733668341709,60,61.09,3.85,-1,"SEA"
"5","Tom Brady",23.019439588638,"QB",7600,330.155735144449,17.4,436.781609195402,50,46.58,1.12,-2.6,"NE"
"6","Alex Smith",18.73914482225,"QB",5400,288.166832116495,10.8,500,60,61.64,4.56,-3.3,"KC"
"7","Brock Osweiler",20.0590003636125,"QB",5000,249.264664707327,10.7,467.289719626168,80,40.32,-0.01,-2.4,"HOU"
"8","Ben Roethlisberger",16.8869904589801,"QB",6500,384.911687833841,8.1,802.469135802469,70,45.24,0.99,-2.7,"PIT"
