"","QBModel.Properties.Player_Name","QBP","QBModel.Properties.Position","QBModel.Properties.Salary","QBModel.Properties.Salary.QBP","QBModel.ActualPoints","QBModel.Properties.Salary.QBModel.ActualPoints","c.QBModel.Properties.OwnRank.","naQB","QBModel.Properties.ProjPlusMinus","QBModel.Properties.OppPlusMinus","QBModel.TeamName"
"1","Russell Wilson",15.1955167015014,"QB",6900,454.081301448489,0,Inf,60,61.09,3.85,-1,"SEA"
"2","Matt Ryan",22.0362792753773,"QB",7000,317.657981754733,0,Inf,40,72.79,6.32,-2.9,"ATL"
"3","Brock Osweiler",17.9996216635606,"QB",5000,277.783616425798,0,Inf,80,40.32,-0.01,-2.4,"HOU"
"4","Tom Brady",23.8653670935511,"QB",7600,318.453094402796,0,Inf,50,46.58,1.12,-2.6,"NE"
"5","Ben Roethlisberger",17.1308183043169,"QB",6500,379.433129493997,0,Inf,70,45.4,0.99,-2.7,"PIT"
"6","Alex Smith",17.6807791302316,"QB",5400,305.416405025205,0,Inf,60,61.28,4.56,-3.3,"KC"
"7","Aaron Rodgers",26.1582461084298,"QB",8200,313.476674468532,0,Inf,50,56.94,3.82,0.3,"GB"
"8","Dak Prescott",26.4152728588541,"QB",6000,227.141322070003,0,Inf,30,81.03,3.96,4.1,"DAL"
