"","WRModel.Properties.Player_Name","WRP","WRModel.Properties.Position","WRModel.Properties.Salary","WRModel.Properties.Salary.WRP","WRModel.ActualPoints","WRModel.Properties.Salary.WRModel.ActualPoints","c.WRModel.Properties.OwnRank.","naWR","WRModel.Properties.ProjPlusMinus","WRModel.Properties.OppPlusMinus","WRModel.TeamName"
"1","Marvin Jones",15.1510001002227,"WR",6200,409.213910566132,41.5,149.397590361446,60,82.5,4.18,0.1,"DET"
"2","Emmanuel Sanders",15.373306831804,"WR",6000,390.286882688592,35.7,168.067226890756,80,46.85,-0.46,-1.7,"DEN"
"3","Terrelle Pryor",16.0637873242976,"WR",3400,211.656188628522,34.9,97.4212034383954,90,78.35,6,-1.8,"CLE"
"4","T.Y. Hilton",15.3206943010956,"WR",6800,443.844114787521,34.4,197.674418604651,80,79.95,3.61,-1.6,"IND"
"5","Doug Baldwin",16.2288333375072,"WR",6300,388.197960320399,33,190.909090909091,70,75.05,2.75,-1.3,"SEA"
"6","Mike Evans",21.2861882458838,"WR",7000,328.851737997461,32.2,217.391304347826,60,76.4,2.55,0,"TB"
"7","Jordy Nelson",21.5180398279543,"WR",7400,343.897495272157,31.1,237.942122186495,60,81.7,2.43,2.2,"GB"
"8","Jarvis Landry",19.3603136462946,"WR",6600,340.90356801958,29.6,222.972972972973,20,90.8,4.97,3.6,"MIA"
"9","Antonio Brown",21.0754126016495,"WR",9600,455.507096418538,29,331.034482758621,50,81.85,4.09,-1.4,"PIT"
"10","Allen Robinson",17.4399075984682,"WR",7500,430.048150063522,24.7,303.643724696356,60,69.65,2.2,-2.5,"JAX"
"11","Demaryius Thomas",17.0127718519831,"WR",6400,376.187963706455,24,266.666666666667,80,57.2,0.72,-1.7,"DEN"
"12","Odell Beckham",18.2939081876678,"WR",9100,497.433348120466,22.1,411.764705882353,70,72.9,0.93,4.7,"NYG"
"13","Adam Humphries",11.2159103212759,"WR",3000,267.477174305611,22,136.363636363636,90,41.1,-0.98,0,"TB"
"14","Tavon Austin",11.2164694300935,"WR",4100,365.533916492457,21.4,191.588785046729,80,83.2,5,0.7,"LA"
"15","Michael Crabtree",17.6245123713943,"WR",6000,340.434950684842,21.2,283.018867924528,70,66.75,1.54,-0.4,"OAK"
"16","DeSean Jackson",10.4490345378274,"WR",5900,564.645468310102,20.6,286.407766990291,80,57,0.27,-0.2,"WAS"
