"","V1","PP","Position","Salary","Proj$/Pt.","ActualPoints","Actual$/Pt.","OwnershipPred","NA","ProjPlusMinus","OppPlusMinus","Team"
"1","Cardinals",7.58687883679134,"D",2600,342.696918710725,9,288.888888888889,90,57.9,0.93,-1.9,"ARI"
"2","Falcons",0.967773862023283,"D",2700,2789.90795882338,7,385.714285714286,90,50,0.31,-2.5,"ATL"
"3","Ravens",3.94663958274435,"D",2900,734.802339863892,3,966.666666666667,90,28.3,-0.73,-4.6,"BAL"
"4","Bills",5.89548956450796,"D",3100,525.82571236537,1,3100,60,38.45,-1.96,-4.2,"BUF"
"5","Panthers",4.93190524555042,"D",2500,506.903493787824,5,500,90,25.7,-0.06,-5.5,"CAR"
"6","Bears",-2.59628434940062,"D",2300,-885.881394513269,-4,-575,70,21.35,-1.62,-4.7,"CHI"
"7","Bengals",9.59531732917421,"D",3200,333.496005418239,8,400,90,38.8,-1.78,-1.3,"CIN"
"8","Browns",5.8601475469708,"D",2200,375.417168657675,5,440,90,68.25,-0.21,4.3,"CLE"
"9","Cowboys",4.07745436470198,"D",2800,686.702964535729,8,350,50,41.1,1.09,-2.6,"DAL"
"10","Broncos",3.24062726511553,"D",3300,1018.32137115046,1,3300,90,34.25,1.41,-4.6,"DEN"
"11","Lions",-2.26389661294623,"D",2700,-1192.63396771738,-3,-900,50,20.35,-2.39,-4.5,"DET"
"12","Packers",11.5046889144209,"D",3300,286.839568157598,8,412.5,70,33.15,-0.89,-2.2,"GB"
"13","Texans",16.3380047849122,"D",3100,189.741650881556,9,344.444444444444,70,48.2,0.34,-2.6,"HOU"
"14","Colts",-1.70507444448432,"D",2500,-1466.21164142548,0,Inf,90,18.4,-0.66,-5.5,"IND"
"15","Jaguars",6.2402441620964,"D",2900,464.725405716457,12,241.666666666667,80,7.55,-2.13,-5.1,"JAX"
"16","Chiefs",9.61081231117142,"D",3500,364.173171494741,10,350,90,78.5,0.87,2,"KC"
"17","Rams",10.5021283563379,"D",3500,333.265780158532,8,437.5,70,47.25,-0.63,-2.6,"LA"
"18","Dolphins",0.0494382675831967,"D",3000,60681.7379867019,1,3000,90,27.2,-0.74,-4,"MIA"
"19","Vikings",13.4605690458582,"D",2900,215.444086362183,0,Inf,90,37.65,0.27,-3.6,"MIN"
"20","Patriots",-6.5234156508481,"D",3600,-551.85813578075,17,211.764705882353,50,71.05,2.46,1.3,"NE"
"21","Saints",NA,"D",2400,NA,6,400,90,24.5,0.76,-3.5,"NO"
"22","Giants",14.1475414536368,"D",3300,233.256075680322,3,1100,50,49.6,1.61,-2.9,"NYG"
"23","Jets",1.95491785207005,"D",2300,1176.5200249026,-3,-766.666666666667,90,20.1,0.88,-5.5,"NYJ"
"24","Raiders",13.3017499629452,"D",2800,210.498619189203,6,466.666666666667,80,44.7,0.99,-4.1,"OAK"
"25","Eagles",-0.841281589174236,"D",2800,-3328.25540940264,13,215.384615384615,50,43,-0.01,-2.7,"PHI"
"26","Steelers",13.6482141379894,"D",3000,219.808977912326,4,750,90,39.3,0.56,-3.4,"PIT"
"27","Chargers",8.41234909941621,"D",3400,404.167725307066,10,340,50,84.85,1.29,2,"SD"
"28","49ers",13.0456857700752,"D",2800,214.630342118371,8,350,90,64.15,-0.61,1.5,"SF"
"29","Buccaneers",NA,"D",2600,NA,1,2600,90,70.05,0.43,-0.6,"TB"
"30","Titans",13.1987821468269,"D",3400,257.599524121049,3,1133.33333333333,70,64.8,0.19,-0.8,"TEN"
"31","Redskins",9.34683159826994,"D",3200,342.362004317303,13,246.153846153846,90,38.85,-0.88,-2.3,"WAS"
