"","QBModel.Properties.Player_Name","QBP","QBModel.Properties.Position","QBModel.Properties.Salary","QBModel.Properties.Salary.QBP","QBModel.ActualPoints","QBModel.Properties.Salary.QBModel.ActualPoints","c.QBModel.Properties.OwnRank.","naQB","QBModel.Properties.ProjPlusMinus","QBModel.Properties.OppPlusMinus","QBModel.TeamName"
"1","Tom Savage",16.3484109648638,"QB",5400,330.30733149575,0,Inf,90,40.06,-0.24,5.1,"HOU"
"2","Matt Cassel",21.1256239557954,"QB",5000,236.679399882452,0,Inf,90,38.92,0.69,-0.5,"TEN"
"3","EJ Manuel",27.0806922919978,"QB",5000,184.633389209089,0,Inf,90,33.12,0.89,-1,"BUF"
"4","Ryan Fitzpatrick",13.8755405595892,"QB",5000,360.34632153805,0,Inf,90,50.94,0.99,0.4,"NYJ"
"5","Joe Flacco",19.833887608051,"QB",5500,277.303174682074,0,Inf,90,56.17,1.43,-2.5,"BAL"
"6","Andy Dalton",7.02515134911906,"QB",5100,725.963007279485,0,Inf,90,69.47,2.86,0.6,"CIN"
"7","Eli Manning",27.6886677015743,"QB",5900,213.08356413496,0,Inf,90,40.56,-6.21,5.8,"NYG"
"8","Kirk Cousins",23.9560925744863,"QB",6500,271.329724569633,0,Inf,70,61.12,3.79,-3.4,"WAS"
"9","Aaron Rodgers",NA,"QB",7700,NA,0,Inf,40,56.04,2.79,-2,"GB"
"10","Matthew Stafford",NA,"QB",6000,NA,0,Inf,70,77.43,3.96,4.5,"DET"
"11","Blake Bortles",1.4613178408536,"QB",5600,3832.15741534291,0,Inf,80,64.05,3.09,-2.8,"JAX"
"12","Andrew Luck",13.6349361740824,"QB",6700,491.38477177,0,Inf,70,67.32,3.02,-5.1,"IND"
"13","Dak Prescott",43.1700145866504,"QB",5800,134.352514251722,0,Inf,90,46.68,-10.97,2.4,"DAL"
"14","Carson Wentz",12.3022517701395,"QB",5200,422.686846047294,0,Inf,90,65.82,2.33,1,"PHI"
"15","Matt Barkley",NA,"QB",5100,NA,0,Inf,90,36.27,0.46,1.8,"CHI"
"16","Sam Bradford",NA,"QB",5200,NA,0,Inf,90,45.89,1.73,-1.6,"MIN"
"17","Cam Newton",22.4575715922275,"QB",6200,276.076154295587,0,Inf,90,58.45,2.39,-2.3,"CAR"
"18","Jameis Winston",28.1854786357963,"QB",6100,216.423502287197,0,Inf,80,66.33,3.92,-2.6,"TB"
"19","Robert Griffin",31.9374030633535,"QB",5000,156.556248173391,0,Inf,90,50.02,0.99,-2.8,"CLE"
"20","Landry Jones",-0.0118532384262254,"QB",5000,-421825.649683842,0,Inf,90,50.1,3.49,0.1,"PIT"
"21","Drew Brees",NA,"QB",7600,NA,0,Inf,60,56.24,4.02,-1.6,"NO"
"22","Matt Ryan",NA,"QB",7400,NA,0,Inf,40,69.43,5.39,0.7,"ATL"
"23","Tom Brady",23.4132119002542,"QB",7200,307.518679225802,0,Inf,70,68.66,1.95,4.7,"NE"
"24","Matt Moore",-11.0226505537534,"QB",5100,-462.683632682465,0,Inf,90,45.68,0.26,-0.8,"MIA"
"25","Carson Palmer",4.69064401336107,"QB",5700,1215.18494768817,0,Inf,80,65.11,3.46,1.8,"ARI"
"26","Jared Goff",0.540022482556315,"QB",5000,9258.87377194261,0,Inf,90,43.77,-0.81,5.6,"LA"
"27","Alex Smith",7.93192096935177,"QB",5000,630.364324016786,0,Inf,90,69.17,5.09,-0.6,"KC"
"28","Philip Rivers",18.2387080578939,"QB",6300,345.419202939284,0,Inf,80,47.25,1.36,-0.8,"SD"
"29","Russell Wilson",-8.61216518712592,"QB",6800,-789.580767698828,0,Inf,70,60.85,4.49,0.6,"SEA"
"30","Colin Kaepernick",13.376396946609,"QB",5100,381.268589767209,0,Inf,90,61.32,1.86,-0.9,"SF"
"31","Matt McGloin",4.89566705238258,"QB",5000,1021.31128332484,0,Inf,90,29.08,-0.01,-3.2,"OAK"
"32","Trevor Siemian",39.3458739537978,"QB",5300,134.702815502931,0,Inf,90,34.03,-3.41,0.4,"DEN"
"33","Paxton Lynch",40.296315677035,"QB",5000,124.080822675546,0,Inf,90,22.56,-8.51,0.4,"DEN"
"34","Josh Johnson",-9.43569352651865,"QB",5000,-529.902755525887,0,Inf,90,28.46,-4.51,5.8,"NYG"
"35","Mark Sanchez",27.6089828202975,"QB",5000,181.100478512527,0,Inf,90,20.42,-3.61,2.4,"DAL"
