"","RBModel.Properties.Player_Name","RBP","RBModel.Properties.Position","RBModel.Properties.Salary","RBModel.Properties.Salary.RBP","RBModel.ActualPoints","RBModel.Properties.Salary.RBModel.ActualPoints","c.RBModel.Properties.OwnRank.","naRB","RBModel.Properties.ProjPlusMinus","RBModel.Properties.OppPlusMinus","RBModel.TeamName"
"31","Kenneth Farrow",8.25048337865203,"RB",5000,606.025098230899,9.7,515.463917525773,80,69.45,0.65,2.6,"SD"
"32","Travaris Cadet",NA,"RB",3100,NA,9.6,322.916666666667,90,39.8,-1.56,-2.7,"NO"
"33","Matt Asiata",2.48788752886652,"RB",3100,1246.0370350473,9.4,329.787234042553,90,73.85,3.34,0.8,"MIN"
"34","Bilal Powell",16.1913900355864,"RB",6000,370.567319224158,9.4,638.297872340426,30,77.3,4.01,-0.7,"NYJ"
"35","Jeremy Langford",6.92650256381747,"RB",4000,577.492026191562,9.3,430.10752688172,90,35.65,-4.71,-0.4,"CHI"
"36","Rashad Jennings",11.1780088361463,"RB",4400,393.630034158831,9.1,483.516483516484,50,76.65,3.75,0.3,"NYG"
"37","Mike Gillislee",4.38159043464712,"RB",4500,1027.02433445549,9.1,494.505494505495,90,46.05,-4.03,1.4,"BUF"
"38","Paul Perkins",9.81533984861812,"RB",3200,326.020295716049,8.7,367.816091954023,50,70.55,3.26,0.3,"NYG"
"39","Alex Collins",11.7051916605699,"RB",3000,256.29652952252,8.7,344.827586206897,90,35.25,-2.27,-1.1,"SEA"
"40","Frank Gore",17.3367881118795,"RB",4800,276.867893235134,8.5,564.705882352941,80,83.4,5.52,-0.7,"IND"
"41","Terrance West",9.84520636614988,"RB",4400,446.918006221609,8.5,517.647058823529,90,54.3,-0.05,-1.8,"BAL"
"42","Charles Sims",NA,"RB",3800,NA,8.2,463.414634146341,90,85.25,8.05,-1.1,"TB"
"43","Ty Montgomery",6.44280655285532,"RB",5900,915.749984358174,8,737.5,40,76.35,2.09,1.5,"GB"
"44","DeMarco Murray",4.13694508782575,"RB",7000,1692.06983689479,8,875,50,86.95,4.07,1.4,"TEN"
"45","Ryan Mathews",8.83587292400339,"RB",4000,452.700037042596,7.2,555.555555555556,50,70.25,2.69,-0.7,"PHI"
"46","Damien Williams",1.62873900898956,"RB",3900,2394.49044842335,7.1,549.295774647887,90,49.55,-1.53,0.8,"MIA"
"47","Latavius Murray",18.6299526641842,"RB",6200,332.797410264998,7.1,873.239436619718,60,72.8,2.14,-2.6,"OAK"
"48","Justin Forsett",18.9835965755652,"RB",3600,189.637405413142,7.1,507.042253521127,90,80.5,5.52,0.1,"DEN"
"49","Duke Johnson",21.2093664461941,"RB",3500,165.021430926715,6.9,507.246376811594,90,69.5,3.61,-2,"CLE"
"50","Kenneth Dixon",14.9124077481789,"RB",4200,281.644659328264,6.8,617.647058823529,90,67,2.72,-1.8,"BAL"
"51","Dion Lewis",12.7500031266721,"RB",4100,321.568548592988,6.7,611.940298507463,80,72.8,2,1.3,"NE"
"52","Jonathan Stewart",13.835987803719,"RB",5200,375.831496367921,6.2,838.709677419355,70,82.7,3.28,2.1,"CAR"
"53","Derrick Henry",5.20497319147909,"RB",4900,941.40734634746,5.5,890.909090909091,90,55.1,-3.07,1.4,"TEN"
"54","Fozzy Whittaker",0.753702847756582,"RB",3000,3980.3485006453,5.4,555.555555555556,90,44.7,-1.87,2.1,"CAR"
"55","Akeem Hunt",5.72038977526845,"RB",3000,524.439787821839,5.4,555.555555555556,90,52.55,0.23,-0.3,"HOU"
"56","Tim Hightower",NA,"RB",4000,NA,5,800,90,68.55,2.89,-2.7,"NO"
"57","Darren McFadden",2.52593526917481,"RB",3500,1385.62537318836,4.9,714.285714285714,50,40.7,-2.29,-2.4,"DAL"
"58","Charcandrick West",2.57894955126887,"RB",4100,1589.79457274872,4.8,854.166666666667,90,45.35,-2.7,0,"KC"
"59","Dwayne Washington",8.8649460130928,"RB",3400,383.533074536323,3.6,944.444444444444,50,83.75,5.29,-0.4,"DET"
"60","John Kuhn",NA,"RB",3000,NA,2,1500,90,32.45,-2.57,-2.7,"NO"
"61","Marcel Reece",9.44016477741178,"RB",3000,317.791063052028,2,1500,90,44.1,-0.47,-1.1,"SEA"
"62","Christine Michael",-2.49291474193236,"RB",3500,-1403.97902147549,1.5,2333.33333333333,90,53.3,-0.99,1.5,"GB"
"63","Thomas Rawls",24.7985858971851,"RB",5100,205.656887902584,0.8,6375,80,72.85,2.76,-1.1,"SEA"
"64","Jeremy Hill",15.3177110626203,"RB",5300,346.004698635005,0.8,6625,80,78.1,3.4,-0.3,"CIN"
"65","Ronnie Hillman",5.07910657332257,"RB",3400,669.409068488169,0.6,5666.66666666667,90,58.9,0.29,2.6,"SD"
"66","T.J. Yeldon",10.180966428104,"RB",3800,373.245509336942,0.5,7600,90,78.9,4.05,0.1,"JAX"
"67","Mike Tolbert",0.763264784353073,"RB",3000,3930.48397030754,0.3,10000,90,42.65,-2.17,2.1,"CAR"
"68","Malcolm Brown",-2.43072008817128,"RB",3000,-1234.20216692125,0.2,15000,90,51.2,-0.47,2,"LA"
"69","Taiwan Jones",1.25289818670366,"RB",3000,2394.4483532959,0,Inf,90,36.25,-2.17,-2.6,"OAK"
"70","Jamize Olawale",8.014469207192,"RB",3000,374.322980404974,0,Inf,90,35.35,-2.17,-2.6,"OAK"
"71","Andre Ellington",8.97156533504598,"RB",3500,390.121441386356,0,Inf,90,26.05,-3.99,-2.6,"ARI"
"72","Lance Dunbar",3.13615575513004,"RB",3000,956.585142524469,0,Inf,50,35.1,-2.37,-2.4,"DAL"
"73","DeAngelo Williams",14.7066156280131,"RB",5500,373.981352278196,0,Inf,90,36.1,-8.87,-1.7,"PIT"
"74","Byron Marshall",-0.926910213479327,"RB",3000,-3236.55943841524,0,Inf,50,37.85,-2.07,-0.7,"PHI"
