"","RBModel.Properties.Player_Name","RBP","RBModel.Properties.Position","RBModel.Properties.Salary","RBModel.Properties.Salary.RBP","RBModel.ActualPoints","RBModel.Properties.Salary.RBModel.ActualPoints","c.RBModel.Properties.OwnRank.","naRB","RBModel.Properties.ProjPlusMinus","RBModel.Properties.OppPlusMinus","RBModel.TeamName"
"1","David Johnson",27.0701789431075,"RB",9200,339.85737661119,34.6,265.895953757225,50,70.05,1.83,-2.6,"ARI"
"2","Le'Veon Bell",33.5217426583633,"RB",9400,280.415015883872,31.7,296.529968454259,90,75.15,2.76,-1.7,"PIT"
"3","Jay Ajayi",14.7989784292907,"RB",5600,378.404497766972,30.9,181.229773462783,80,77.85,2.85,0.8,"MIA"
"4","LeSean McCoy",24.1855494269415,"RB",9000,372.123032688869,28.5,315.789473684211,20,77.05,1.1,1.4,"BUF"
"5","Mark Ingram",NA,"RB",4400,NA,25.3,173.913043478261,80,82.1,5.25,-2.7,"NO"
"6","DeAndre Washington",11.3254337528355,"RB",3300,291.379568502071,24.7,133.603238866397,90,41.05,-1.63,-2.6,"OAK"
"7","Zach Zenner",4.7305043190101,"RB",3200,676.460644405378,23.2,137.931034482759,50,66.85,2.56,-0.4,"DET"
"8","Tevin Coleman",3.32518178076334,"RB",5000,1503.67719110147,22.5,222.222222222222,90,60.45,-0.15,-0.9,"ATL"
"9","Ezekiel Elliott",19.1384210209919,"RB",7900,412.782224371327,22.2,355.855855855856,50,76.9,2.82,-2.4,"DAL"
"10","Isaiah Crowell",21.0298793432775,"RB",4100,194.960700110276,21.8,188.073394495413,90,79.15,5.3,-2,"CLE"
"11","Chris Ivory",7.32383835162037,"RB",3600,491.545529429048,20.4,176.470588235294,90,66,1.72,0.1,"JAX"
"12","Alfred Blue",10.1517300055552,"RB",4300,423.573124742972,19,226.315789473684,90,65.1,1.34,-0.3,"HOU"
"13","Todd Gurley",9.89778903482279,"RB",6500,656.71232000717,17.7,367.231638418079,50,76.8,1.19,2,"LA"
"14","LeGarrette Blount",12.4104837787807,"RB",5600,451.231402403088,17,329.411764705882,60,72.05,-0.25,1.3,"NE"
"15","Jalen Richard",11.7732969169953,"RB",3600,305.776710243605,16.9,213.01775147929,90,52.55,0.42,-2.6,"OAK"
"16","Jordan Howard",20.6535973184615,"RB",6300,305.031607949897,16.8,375,20,80.7,4.36,-0.4,"CHI"
"17","Devonta Freeman",10.4304620136409,"RB",7100,680.69851466931,16.8,422.619047619048,70,66.8,-0.91,-0.9,"ATL"
"18","Chris Thompson",10.1627337369529,"RB",3700,364.075267124864,16.7,221.556886227545,90,64.4,2.14,-1.2,"WAS"
"19","Jacquizz Rodgers",NA,"RB",4200,NA,15.8,265.822784810127,50,62.45,1.42,-1.1,"TB"
"20","Darren Sproles",10.353347314739,"RB",3900,376.689768191971,14.3,272.727272727273,50,71.75,3.17,-0.7,"PHI"
"21","Carlos Hyde",12.7762759830334,"RB",5800,453.96639894929,14.2,408.450704225352,80,77.05,3.48,-1,"SF"
"22","James White",7.8090289027897,"RB",3800,486.616203794878,13.6,279.411764705882,90,69.2,1.55,1.3,"NE"
"23","Jerick McKinnon",35.0889315324863,"RB",4000,113.996061587019,13.5,296.296296296296,90,76.75,3.59,0.8,"MIN"
"24","Shaun Draughn",2.81014472531177,"RB",3000,1067.56067507063,12.5,240,90,48.15,0.03,-1,"SF"
"25","Devontae Booker",15.9912700552115,"RB",3700,231.376243864644,12.1,305.785123966942,90,72.9,3.74,0.1,"DEN"
"26","Robert Turbin",9.0828232235387,"RB",3600,396.352533942351,10.9,330.275229357798,90,55.1,-0.08,-0.7,"IND"
"27","Rex Burkhead",13.7011747407458,"RB",3500,255.452548137451,10.7,327.102803738318,90,65.2,2.41,-0.3,"CIN"
"28","Kyle Juszczyk",10.6855073415246,"RB",3000,280.754100307601,10.5,285.714285714286,90,42.7,-0.97,-1.8,"BAL"
"29","Rob Kelley",11.8685437315741,"RB",5200,438.132943485421,10.2,509.803921568627,90,68.45,1.38,-1.2,"WAS"
"30","Spencer Ware",11.7730933484811,"RB",5300,450.179051768393,10.2,519.607843137255,90,80.75,4.3,0,"KC"
