"","RBModel.Properties.Player_Name","RBP","RBModel.Properties.Position","RBModel.Properties.Salary","RBModel.Properties.Salary.RBP","RBModel.ActualPoints","RBModel.Properties.Salary.RBModel.ActualPoints","c.RBModel.Properties.OwnRank.","naRB","RBModel.Properties.ProjPlusMinus","RBModel.Properties.OppPlusMinus","RBModel.TeamName"
"16","Shane Vereen",11.0894730137779,"RB",3700,333.649759136706,16.5,224.242424242424,60,81.75,5.24,0.1,"NYG"
"17","Frank Gore",18.0608982619929,"RB",5000,276.841158588548,15.3,326.797385620915,70,81.35,3.65,3,"IND"
"18","Lamar Miller",15.8757969012618,"RB",7200,453.520541033611,14.7,489.795918367347,50,67,1.6,-3.2,"HOU"
"19","Eddie Lacy",13.3287900208638,"RB",6100,457.655945547313,14.5,420.689655172414,80,68.25,0.93,-1.7,"GB"
"20","Jordan Howard",7.14852793207517,"RB",3300,461.633504318144,13.2,250,90,61.4,1.57,0.7,"CHI"
"21","Duke Johnson",3.31955347878238,"RB",4200,1265.23040729579,13.1,320.610687022901,90,72.25,3.32,2.7,"CLE"
"22","Bilal Powell",8.45423591732495,"RB",3400,402.165261680539,12.1,280.99173553719,90,47.65,-1.11,0.8,"NYJ"
"23","Theo Riddick",12.780365390349,"RB",4900,383.400618866514,11.8,415.254237288136,40,78.75,5.13,-1.9,"DET"
"24","Latavius Murray",14.5047469291942,"RB",5700,392.974798376346,10.8,527.777777777778,80,64.85,1.16,-3.7,"OAK"
"25","Fozzy Whittaker",7.99406211552991,"RB",3800,475.352823768759,10.6,358.490566037736,80,56.45,0.15,-1.4,"CAR"
"26","Kenjon Barner",2.56852418618062,"RB",3000,1167.98588704784,10.2,294.117647058824,90,43.3,-1.57,1.1,"PHI"
"27","Matt Jones",14.488541994178,"RB",4100,282.982235317226,9.9,414.141414141414,80,74.35,3.7,-1.5,"WAS"
"28","Giovani Bernard",12.973760118181,"RB",4300,331.438223061802,9.4,457.446808510638,80,78.3,4.64,-1,"CIN"
"29","Justin Forsett",13.2037780565295,"RB",3900,295.370005713734,9.2,423.913043478261,80,84.45,4.37,2,"BAL"
"30","Travaris Cadet",NA,"RB",3100,NA,9.2,336.95652173913,50,63.05,1.44,1.2,"NO"
"31","Alfred Morris",4.25034764677957,"RB",3700,870.517027660887,9.1,406.593406593407,90,43.75,-2.36,-1.1,"DAL"
"32","Jay Ajayi",14.9344979555663,"RB",4000,267.836254817601,8.8,454.545454545455,90,73.85,4.09,-4.3,"MIA"
"33","DeAngelo Williams",20.6234141580129,"RB",7500,363.664325534867,8.4,892.857142857143,30,88.9,4.95,3.8,"PIT"
"34","Matt Forte",18.4743019739535,"RB",7000,378.904708273642,8.4,833.333333333333,70,74.85,1.57,0.8,"NYJ"
"35","Spencer Ware",13.365829585603,"RB",5700,426.46062210308,8.3,686.746987951807,80,68.55,2.06,-1.9,"KC"
"36","Isaiah Crowell",7.39035179532365,"RB",4700,635.964312683192,7.9,594.936708860759,80,82.75,4,2.7,"CLE"
"37","Jerick McKinnon",11.1640702512972,"RB",3800,340.377650307105,7.7,493.506493506493,70,85.05,6.15,1.9,"MIN"
"38","DeAndre Washington",1.20652782057692,"RB",3400,2818.00381393131,7.2,472.222222222222,90,41.9,-1.11,-3.7,"OAK"
"39","Robert Turbin",5.09193794248741,"RB",3000,589.166646154077,6.9,434.782608695652,90,46.75,-1.67,3,"IND"
"40","Kenyan Drake",10.5557651987244,"RB",3600,341.045858090425,6.8,529.411764705882,70,60.45,1.72,-4.3,"MIA"
"41","Cameron Artis-Payne",7.40016982631368,"RB",3000,405.396101766819,6.8,441.176470588235,80,73.25,3.83,-1.4,"CAR"
"42","Jeremy Langford",9.0014385768681,"RB",5200,577.685439454418,6.6,787.878787878788,90,70.55,1.88,0.7,"CHI"
"43","Terrance West",6.8442677149924,"RB",3500,511.376840554211,6.3,555.555555555556,90,81.05,4.31,2,"BAL"
"44","Josh Ferguson",5.93236612703836,"RB",3000,505.700412913945,6.1,491.803278688525,90,47.4,-1.27,3,"IND"
"45","Lance Dunbar",5.99461192409708,"RB",3000,500.44940990102,6.1,491.803278688525,90,45.8,-0.47,-1.1,"DAL"
"46","C.J. Anderson",11.8404628411979,"RB",7300,616.529953085978,5.1,1431.37254901961,80,70.9,0.62,0.1,"DEN"
"47","Jalen Richard",4.0579502682638,"RB",3600,887.147392651578,5.1,705.882352941176,90,33.95,-2.98,-3.7,"OAK"
"48","Alex Collins",4.54889889663771,"RB",3000,659.500258890658,5.1,588.235294117647,90,39.3,-1.47,-1.7,"SEA"
"49","Benny Cunningham",1.5024860060359,"RB",3400,2262.91625102748,4.9,693.877551020408,90,45.75,-0.71,0.1,"LA"
"50","T.J. Yeldon",4.78787272827249,"RB",5600,1169.62173345417,4.8,1166.66666666667,80,62.25,-0.95,1.6,"JAX"
"51","Dwayne Washington",3.81976832595043,"RB",3600,942.465535289829,4.5,800,80,56.05,1.92,-1.9,"DET"
"52","Derrick Henry",11.8455952573048,"RB",3700,312.352390878655,4.5,822.222222222222,90,57.3,1.04,-1.5,"TEN"
"53","Charcandrick West",10.2978087019368,"RB",3500,339.878133426746,4.1,853.658536585366,90,56.1,1.11,-1.9,"KC"
"54","Mike Tolbert",6.20964655600934,"RB",3000,483.119284316878,3.9,769.230769230769,90,43.35,-0.97,-1.4,"CAR"
"55","Devontae Booker",-0.651969312283043,"RB",3000,-4601.44357024214,3.5,857.142857142857,90,51.35,0.23,0.1,"DEN"
"56","Jacquizz Rodgers",8.07450802337201,"RB",3000,371.53966425154,3.3,909.090909090909,90,58.55,1.63,-0.5,"TB"
"57","Chris Ivory",4.5357017684071,"RB",3900,859.844892617277,3.3,1181.81818181818,80,60.55,0.27,1.6,"JAX"
"58","Matt Asiata",6.94661362023789,"RB",3000,431.865102049143,2.9,1034.48275862069,80,79.1,4.83,1.9,"MIN"
"59","Chris Thompson",9.01993605542734,"RB",3400,376.942805260155,2.6,1307.69230769231,90,61.8,2.29,-1.5,"WAS"
"60","James White",13.8604812607623,"RB",4200,303.019781274825,2.4,1750,50,53.7,1.22,-4.1,"NE"
"61","Shaun Draughn",7.99576095172943,"RB",3400,425.22531883155,2.2,1545.45454545455,90,43.25,-0.11,-3.3,"SF"
"62","Mike Gillislee",3.6695665254061,"RB",3300,899.288778975003,2,1650,90,30.3,-3.33,-3,"BUF"
"63","Tim Hightower",NA,"RB",3300,NA,1.9,1736.84210526316,50,53.25,-0.53,1.2,"NO"
"64","James Starks",4.84426163722845,"RB",4000,825.719232268495,1.8,2222.22222222222,90,47.35,-1.31,-1.7,"GB"
"65","Kyle Juszczyk",2.23935991308825,"RB",3000,1339.66852870148,1.2,2500,90,42.8,-1.67,2,"BAL"
"66","Chris Johnson",2.40304358689687,"RB",3500,1456.48627394215,0.5,7000,90,35.9,-3.29,-1.5,"ARI"
"67","Andre Ellington",1.86793223381862,"RB",3600,1927.26477696705,0,Inf,90,38.8,-2.68,-1.5,"ARI"
"68","Reggie Bush",5.36846840657792,"RB",3200,596.073173510545,0,Inf,90,31.75,-2.74,-3,"BUF"
"69","Fitzgerald Toussaint",-4.87518350903715,"RB",3000,-615.361451407704,0,Inf,90,47.05,-1.37,3.8,"PIT"
"70","Kenneth Farrow",1.59223918359304,"RB",3000,1884.13903571335,0,Inf,90,45.7,-0.87,0.3,"SD"
"71","Ryan Mathews",12.8030875841331,"RB",5800,453.015724674722,-0.5,-11600,80,61.3,-1.22,1.1,"PHI"
"72","Tyler Ervin",0.591801209538382,"RB",3000,5069.26980149308,-1,-3000,50,34.15,-1.37,-3.2,"HOU"
