"","RBModel.Properties.Player_Name","RBP","RBModel.Properties.Position","RBModel.Properties.Salary","RBModel.Properties.Salary.RBP","RBModel.ActualPoints","RBModel.Properties.Salary.RBModel.ActualPoints","c.RBModel.Properties.OwnRank.","naRB","RBModel.Properties.ProjPlusMinus","RBModel.Properties.OppPlusMinus","RBModel.TeamName"
"1","Devonta Freeman",NA,"RB",5800,NA,34.7,167.146974063401,50,82,3.88,-1.2,"ATL"
"2","Tevin Coleman",NA,"RB",4500,NA,29.9,150.501672240803,50,79.8,4.17,-1.2,"ATL"
"3","LeSean McCoy",23.1048375273105,"RB",6500,281.326366927135,29.6,219.594594594595,80,71.55,2.79,-3,"BUF"
"4","DeMarco Murray",20.6620125844534,"RB",6300,304.907374063854,29.5,213.559322033898,70,75.15,2.76,-1.5,"TEN"
"5","Carlos Hyde",14.6133147946622,"RB",4400,301.095272484459,28.5,154.385964912281,90,66.85,3.15,-3.3,"SF"
"6","Christine Michael",20.2888513717265,"RB",5000,246.440762386763,28.1,177.935943060498,40,85.35,5.95,-1.7,"SEA"
"7","Darren Sproles",10.9169711632119,"RB",3700,338.921844226197,27.7,133.574007220217,80,75.4,3.54,1.1,"PHI"
"8","David Johnson",20.4958107370059,"RB",7700,375.686529252409,26.1,295.019157088123,40,75,2.19,-1.5,"ARI"
"9","LeGarrette Blount",18.6757786876463,"RB",4400,235.599279344134,25.5,172.549019607843,50,76.85,4.75,-4.1,"NE"
"10","Charles Sims",15.0250254449397,"RB",4900,326.122575828999,24.4,200.819672131148,30,84.1,6.23,-0.5,"TB"
"11","Mark Ingram",NA,"RB",5900,NA,22.7,259.911894273128,50,87.45,4.99,1.2,"NO"
"12","Jeremy Hill",14.1130217584669,"RB",3700,262.169226642072,21.7,170.506912442396,90,77.4,4.04,-1,"CIN"
"13","Todd Gurley",9.85694796690915,"RB",7100,720.304096545449,21,338.095238095238,90,73.1,1.29,0.1,"LA"
"14","Ezekiel Elliott",18.3729571911172,"RB",6900,375.551955421523,21,328.571428571429,70,71.1,0.96,-1.1,"DAL"
"15","Melvin Gordon",17.8989229164961,"RB",5800,324.041844699748,17.8,325.842696629213,30,87.45,6.38,0.3,"SD"
