"","WRModel.Properties.Player_Name","WRP","WRModel.Properties.Position","WRModel.Properties.Salary","WRModel.Properties.Salary.WRP","WRModel.ActualPoints","WRModel.Properties.Salary.WRModel.ActualPoints","c.WRModel.Properties.OwnRank.","naWR","WRModel.Properties.ProjPlusMinus","WRModel.Properties.OppPlusMinus","WRModel.TeamName"
"1","Dez Bryant",15.8911781411608,"WR",6600,415.324775883349,37.2,177.41935483871,30,76.95,1.67,2.7,"DAL"
"2","Julian Edelman",14.5165403900234,"WR",6800,468.431170051601,25.9,262.548262548263,8,79.35,2.51,-0.3,"NE"
"3","Antonio Brown",18.8367840733741,"WR",9600,509.641134208766,19.8,484.848484848485,30,53.95,-0.91,-2.8,"PIT"
"4","Doug Baldwin",16.0865554698357,"WR",8100,503.526066545975,19.1,424.083769633508,40,66.6,1.33,-1.4,"SEA"
"5","Julio Jones",15.1510845633202,"WR",8400,554.415755842049,18.7,449.197860962567,8,62.45,0.04,-0.8,"ATL"
"6","Mohamed Sanu",10.7498448834694,"WR",4000,372.098392428993,14.4,277.777777777778,70,66.8,1.73,-0.8,"ATL"
"7","Chris Hogan",6.56622817322059,"WR",3900,593.948290725806,13.5,288.888888888889,80,53.3,-0.24,-0.3,"NE"
"8","Randall Cobb",17.1886105420194,"WR",5700,331.614936883103,13.2,431.818181818182,50,76.05,3.23,-1.9,"GB"
"9","Davante Adams",15.0222340061501,"WR",7000,465.97596583399,12.6,555.555555555556,8,79.25,3.65,-1.9,"GB"
"10","DeAndre Hopkins",12.0615659083454,"WR",5800,480.866252696672,12.5,464,70,58.45,0.8,-1.2,"HOU"
"11","Paul Richardson",10.0785446878867,"WR",4100,406.804764672796,12.3,333.333333333333,40,61.35,1.6,-1.4,"SEA"
"12","Taylor Gabriel",7.6683154635528,"WR",4400,573.789644011521,11.1,396.396396396396,80,57.9,0.51,-0.8,"ATL"
"13","Terrance Williams",10.2747440830227,"WR",3100,301.710677653008,10.8,287.037037037037,70,72.45,2.19,2.7,"DAL"
"14","Tyreek Hill",22.861884237357,"WR",5500,240.575096212447,8.5,647.058823529412,40,56.25,0.49,-0.3,"KC"
"15","Cole Beasley",10.8949563663808,"WR",5000,458.92795086622,8.5,588.235294117647,70,67.65,0.73,2.7,"DAL"
"16","Albert Wilson",4.10050163848283,"WR",3000,731.617803013485,8.3,361.44578313253,90,32.15,-2.68,-0.3,"KC"
"17","Eli Rogers",8.13011106266875,"WR",3900,479.698243964678,7.7,506.493506493506,80,55.25,1.06,-2.8,"PIT"
"18","Geronimo Allison",9.77374630111279,"WR",3900,399.028159709442,7.6,513.157894736842,50,69.05,2.66,-1.9,"GB"
"19","Jeremy Maclin",9.13315296324477,"WR",4300,470.812217566574,4.8,895.833333333333,70,65.3,1.84,-0.3,"KC"
"20","Will Fuller",7.17956438526281,"WR",3600,501.42317929338,4.6,782.608695652174,80,53,1.25,-1.2,"HOU"
"21","Chris Conley",6.76252468994703,"WR",3000,443.621300852285,3.9,769.230769230769,80,53.9,0.82,-0.3,"KC"
"22","Justin Hardy",3.90798597409328,"WR",3000,767.658845217849,3.8,789.473684210526,90,34.7,-2.78,-0.8,"ATL"
"23","Michael Floyd",6.75571615957793,"WR",3800,562.486627655684,1.9,2000,70,59.3,0.69,-0.3,"NE"
"24","Jermaine Kearse",8.18512205184928,"WR",3300,403.170530518164,1.8,1833.33333333333,80,67.65,2.33,-1.4,"SEA"
"25","Keith Mumphery",4.88601987674407,"WR",3000,613.996683533578,1.7,1764.70588235294,90,30.2,-2.28,-1.2,"HOU"
"26","Danny Amendola",2.89275060894828,"WR",3500,1209.92110041332,1.5,2333.33333333333,90,42.15,-1.63,-0.3,"NE"
"27","Cobi Hamilton",4.5576815384436,"WR",3000,658.22940341384,1.4,2142.85714285714,90,30.25,-2.38,-2.8,"PIT"
"28","Tanner McEvoy",2.82251161973145,"WR",3000,1062.88313537056,0,Inf,90,24.35,-3.88,-1.4,"SEA"
"29","Aldrick Robinson",4.18746939044882,"WR",3400,811.94623362622,0,Inf,90,23.75,-4.4,-0.8,"ATL"
"30","Darrius Heyward-Bey",3.39116285649548,"WR",3000,884.652293903775,0,Inf,90,29,-2.48,-2.8,"PIT"
"31","Jeff Janis",4.65753101621369,"WR",3000,644.118093804737,0,Inf,90,30.4,-2.68,-1.9,"GB"
