"","RBModel.Properties.Player_Name","RBP"
"1","Le'Veon Bell",41.4489931755538
"2","Bilal Powell",17.1826587177685
"3","Carlos Hyde",18.464063655812
"4","Jeremy Hill",14.8185203682767
"5","LeSean McCoy",22.4054063853086
"6","Lamar Miller",19.0431189934622
"7","Kenneth Dixon",10.9071503732787
"8","Tevin Coleman",11.4927547551885
"9","Latavius Murray",15.8841770365163
"10","David Johnson",24.2589001668558
"11","Todd Gurley",24.3243102788605
"12","Rob Kelley",13.2949384985487
"13","Doug Martin",14.4387795910897
"14","T.J. Yeldon",16.3551246846239
"15","Isaiah Crowell",11.5323604430221
"16","Frank Gore",17.4065215812861
"17","DeMarco Murray",13.1108660941978
"18","LeGarrette Blount",13.1578835872113
"19","Kenneth Farrow",1.27567395213987
"20","Ezekiel Elliott",16.1038643106713
"21","Jordan Howard",NA
"22","Jerick McKinnon",14.9073066211182
"23","Jonathan Stewart",14.4992442663973
"24","Matt Asiata",5.85606874397026
"25","Darren Sproles",13.9799300147326
"26","James White",13.789603901554
"27","Chris Thompson",9.0388459240927
"28","Shaun Draughn",3.89670053859913
"29","Damien Williams",8.75384664599611
"30","Dwayne Washington",NA
"31","Thomas Rawls",7.65253609425719
"32","Robert Turbin",7.66747687099285
"33","Charles Sims",10.5624571074249
"34","Rashad Jennings",3.89733682279957
"35","Kyle Juszczyk",4.18018917104155
"36","Spencer Ware",14.3023716802066
"37","Jay Ajayi",17.1861422432183
"38","Travaris Cadet",5.88377952385943
"39","Terrance West",7.22789003096447
"40","Alfred Blue",6.32491391551303
"41","Zach Zenner",NA
"42","Charcandrick West",4.61976338905634
"43","Rex Burkhead",7.80520823362704
"44","Ryan Mathews",12.5104423223469
"45","Derrick Henry",4.0042866300832
"46","Duke Johnson",14.0989100470701
"47","Paul Perkins",3.74930951461898
"48","Tim Hightower",8.86733080344466
"49","Lance Dunbar",0.174052347938614
"50","Devonta Freeman",15.3802564313794
"51","Christine Michael",4.70075844735093
"52","Mike Gillislee",6.86201452070005
"53","Mark Ingram",14.025441186402
"54","Devontae Booker",5.61379591118188
"55","Jalen Richard",10.1309372483861
"56","Dion Lewis",11.5417020013173
"57","Shane Vereen",6.20315767375309
"58","Jamize Olawale",3.70293809601267
"59","Fozzy Whittaker",4.95983771919952
"60","Jeremy Langford",NA
"61","Corey Grant",1.30000000000178
"62","John Kuhn",1.10065188542937
"63","Matt Forte",17.1020543730681
"64","Melvin Gordon",13.2599648760042
"65","Reggie Bush",0.54471752956995
"66","Wendell Smallwood",8.0719978521432
"67","James Starks",3.33799628484158
"68","Ka'Deem Carey",NA
"69","Taiwan Jones",0.224277706876786
"70","Andre Ellington",-1.97340446247783
"71","Jacquizz Rodgers",10.8937534232038
"72","Alfred Morris",0.275095374089832
