"","WRModel.Properties.Player_Name","WRP","WRModel.Properties.Position","WRModel.Properties.Salary","WRModel.Properties.Salary.WRP","WRModel.ActualPoints","WRModel.Properties.Salary.WRModel.ActualPoints","c.WRModel.Properties.OwnRank.","naWR","WRModel.Properties.ProjPlusMinus","WRModel.Properties.OppPlusMinus","WRModel.TeamName"
"1","Randall Cobb",8.29325834235941,"WR",4000,482.319473827221,37.6,106.382978723404,80,32.2,-2.47,-2.9,"GB"
"2","Antonio Brown",19.2970528893423,"WR",9400,487.121015520022,32.4,290.123456790123,50,77.3,2.05,0.5,"PIT"
"3","Doug Baldwin",16.7207615718964,"WR",7000,418.641218577349,31,225.806451612903,40,76.1,2.35,-0.3,"SEA"
"4","Davante Adams",13.1779680634536,"WR",5600,424.951705227641,29.5,189.830508474576,30,72.25,2.46,-2.9,"GB"
"5","Jarvis Landry",14.8749290706938,"WR",5100,342.858777730099,24.2,210.743801652893,30,78.5,3.91,-1,"MIA"
"6","DeAndre Hopkins",11.8517538982934,"WR",6700,565.31717225117,17.7,378.531073446328,70,46.6,-1.46,-1.6,"HOU"
"7","Andre Holmes",1.83466546656754,"WR",3000,1635.17548821185,15,200,90,30.3,-3.18,0.7,"OAK"
"8","Paul Richardson",10.4013927828716,"WR",3400,326.879300779691,13.8,246.376811594203,70,61.05,1.3,-0.3,"SEA"
"9","Kenny Stills",12.8181558110585,"WR",3800,296.454502193026,13.2,287.878787878788,40,72.8,3.49,-1,"MIA"
"10","Marvin Jones",5.84773533211161,"WR",4100,701.126122703555,12.1,338.842975206612,70,61.55,1.6,-0.5,"DET"
"11","Sterling Shepard",10.407087692326,"WR",4800,461.224133197169,10.3,466.019417475728,30,71.7,1.99,3.9,"NYG"
"12","DeVante Parker",12.5893918323365,"WR",4200,333.614209163948,9.5,442.105263157895,60,56.25,0.87,-1,"MIA"
"13","Will Fuller",7.13329188182081,"WR",4400,616.826014257652,7.7,571.428571428571,70,42.8,-0.59,-1.6,"HOU"
"14","Odell Beckham",18.2403456235249,"WR",9100,498.894055399015,6.8,1338.23529411765,50,72.35,1.13,3.9,"NYG"
"15","Victor Cruz",7.68568488780255,"WR",3800,494.425683003311,6,633.333333333333,80,48.65,-0.61,3.9,"NYG"
"16","Golden Tate",10.0760872719921,"WR",6300,625.242698870993,5.5,1145.45454545455,40,56.8,0.25,-0.5,"DET"
"17","Michael Crabtree",10.1573881228738,"WR",5300,521.787681625037,5.3,1000,70,63,1.05,0.7,"OAK"
"18","Anquan Boldin",5.14655563098016,"WR",4000,777.218840484622,4.4,909.090909090909,60,58.05,1.53,-0.5,"DET"
"19","Jermaine Kearse",10.4998529028191,"WR",4000,380.957717886318,3.4,1176.47058823529,80,62.6,1.23,-0.3,"SEA"
"20","Amari Cooper",11.7421853399579,"WR",5200,442.847719521574,3,1733.33333333333,60,66.5,1.48,0.7,"OAK"
"21","Eli Rogers",10.3593506949221,"WR",4000,386.12458616356,2.9,1379.31034482759,30,68.3,1.73,0.5,"PIT"
"22","Jordy Nelson",17.7753716043635,"WR",8000,450.06091450916,2.3,3478.26086956522,8,78.15,3.36,-2.9,"GB"
"23","Cobi Hamilton",5.66248993144706,"WR",3000,529.802266550493,2,1500,80,40.05,-2.08,0.5,"PIT"
"24","Darrius Heyward-Bey",3.58591385078072,"WR",3000,836.60682460256,2,1500,90,29.3,-3.88,0.5,"PIT"
"25","Geronimo Allison",5.37888778543964,"WR",3300,613.50973131154,1.8,1833.33333333333,80,35.35,-2.17,-2.9,"GB"
"26","Seth Roberts",4.26120320307047,"WR",3000,704.026505433561,1.1,2727.27272727273,90,43.9,-0.58,0.7,"OAK"
"27","Sammie Coates",7.94909514628823,"WR",3000,377.401445672823,0,Inf,90,44.9,-1.18,0.5,"PIT"
"28","Keith Mumphery",4.61829707611563,"WR",3000,649.590087115671,0,Inf,90,31.05,-2.38,-1.6,"HOU"
"29","Andre Roberts",-0.853134647084971,"WR",3000,-3516.44375275408,0,Inf,90,26.2,-3.38,-0.5,"DET"
"30","Tanner McEvoy",7.06516327786719,"WR",3000,424.618636825847,0,Inf,90,29.9,-3.58,-0.3,"SEA"
