"","RBModel.Properties.Player_Name","RBP","RBModel.Properties.Position","RBModel.Properties.Salary","RBModel.Properties.Salary.RBP","RBModel.ActualPoints","RBModel.Properties.Salary.RBModel.ActualPoints","c.RBModel.Properties.OwnRank.","naRB","RBModel.Properties.ProjPlusMinus","RBModel.Properties.OppPlusMinus","RBModel.TeamName"
"1","Alex Collins",9.19687272113722,"RB",3500,380.564144587533,0,Inf,90,52.25,-1.39,0.8,"SEA"
"2","Thomas Rawls",14.6824718757698,"RB",6900,469.948116256019,0,Inf,70,61.7,-3.74,0.8,"SEA"
"3","Marcel Reece",4.99396111681629,"RB",3000,600.725542275054,0,Inf,90,47.2,-1.27,0.8,"SEA"
"4","Tevin Coleman",6.67406327806445,"RB",4500,674.251923081114,0,Inf,70,60.1,0.37,-1.7,"ATL"
"5","Devonta Freeman",14.1738518642576,"RB",5900,416.259465422954,0,Inf,8,79.7,3.39,-1.7,"ATL"
"6","Alfred Blue",4.44729365887391,"RB",3300,742.024308067748,0,Inf,90,38.7,-1.53,-2.6,"HOU"
"7","Lamar Miller",13.9952028841722,"RB",5600,400.137107432239,0,Inf,80,61.5,0.55,-2.6,"HOU"
"8","LeGarrette Blount",14.1874876383505,"RB",5800,408.810928886513,0,Inf,30,64.2,-0.52,-2.6,"NE"
"9","Dion Lewis",14.6087016057015,"RB",3900,266.964176917537,0,Inf,8,70.3,2.77,-2.6,"NE"
"10","James White",11.3402608677598,"RB",3400,299.816736109321,0,Inf,70,63.25,2.19,-2.6,"NE"
"11","Le'Veon Bell",26.8394817565295,"RB",10500,391.214707319956,0,Inf,20,78.15,0.14,0.2,"PIT"
"12","DeAngelo Williams",1.56876177010784,"RB",3200,2039.82533293123,0,Inf,90,43.05,-1.94,0.2,"PIT"
"13","Spencer Ware",8.28353515632026,"RB",5200,627.75130446962,0,Inf,50,76.25,2.98,-1.7,"KC"
"14","Charcandrick West",3.58507948207425,"RB",3400,948.375068670117,0,Inf,90,47.3,-1.21,-1.7,"KC"
"15","Christine Michael",3.16371688195474,"RB",4300,1359.16081003531,0,Inf,90,40.6,-4.06,-1.1,"GB"
"16","Ty Montgomery",12.7877088851523,"RB",5300,414.460482921517,0,Inf,70,67.1,1.5,-1.1,"GB"
"17","Lance Dunbar",-0.498678784041511,"RB",3000,-6015.89659717762,0,Inf,90,43.1,-2.17,0.3,"DAL"
"18","Ezekiel Elliott",15.2546331788544,"RB",8500,557.207761100574,0,Inf,50,78.85,0.51,0.3,"DAL"
"19","Darren McFadden",0.930489188402752,"RB",3000,3224.11054033815,0,Inf,90,50.55,-0.87,0.3,"DAL"
