"","V1","PP","Position","Salary","Proj$/Pt.","ActualPoints","Actual$/Pt.","OwnershipPred","NA","ProjPlusMinus","OppPlusMinus","Team"
"1","Falcons",5.26794036182539,"D",2600,493.551525154145,10,260,40,59.15,-0.37,-1,"ATL"
"2","Cowboys",7.0572323134281,"D",2700,382.586243457311,4,675,70,19.7,-0.99,-6.8,"DAL"
"3","Packers",10.1242906160294,"D",2800,276.562586574398,3,933.333333333333,70,44.35,0.69,-2.8,"GB"
"4","Texans",2.27602150069374,"D",2300,1010.53526924019,7,328.571428571429,90,21.05,0.88,-8.4,"HOU"
"5","Chiefs",8.36897132997028,"D",3400,406.262593805788,4,850,60,30.35,1.19,-5.2,"KC"
"6","Patriots",11.5565069414234,"D",4000,346.125349145277,16,250,8,72.7,-0.01,0.1,"NE"
"7","Steelers",8.44841292856325,"D",2900,343.259737008756,6,483.333333333333,50,31.9,1.07,-5.1,"PIT"
