"","TEModel.Properties.Player_Name","TEP","TEModel.Properties.Position","TEModel.Properties.Salary","TEModel.Properties.Salary.TEP","TEModel.ActualPoints","TEModel.Properties.Salary.TEModel.ActualPoints","c.TEModel.Properties.OwnRank.","naTE","TEModel.Properties.ProjPlusMinus","TEModel.Properties.OppPlusMinus","TEModel.TeamName"
"1","Zach Miller",21.7898026958722,"TE",2900,133.089777841328,27.8,104.31654676259,90,82.68,4.86,-2,"CHI"
"2","Coby Fleener",NA,"TE",3300,NA,26.9,122.676579925651,50,86.56,4.9,0.8,"NO"
"3","Jimmy Graham",15.3537732605943,"TE",3000,195.391709196303,24,125,80,83.44,3.87,1.9,"SEA"
"4","Cameron Brate",14.7574312038363,"TE",2500,169.406176825009,21.6,115.740740740741,90,77.08,3.42,-1.2,"TB"
"5","Travis Kelce",20.4363777214637,"TE",4700,229.982047898035,20.9,224.88038277512,70,66.49,4.34,-0.2,"KC"
"6","Kyle Rudolph",10.4981519282975,"TE",3100,295.290068306596,20,155,80,73.44,4.58,-0.6,"MIN"
"7","Gary Barnidge",14.1183653305162,"TE",4000,283.318918752881,13.6,294.117647058824,90,63.93,2.67,-0.9,"CLE"
"8","Ryan Griffin",5.90890799672535,"TE",2500,423.090019574763,13.2,189.393939393939,50,50.36,-1.58,2.7,"HOU"
"9","Jack Doyle",8.92552330721655,"TE",2500,280.095621729952,12.5,200,90,73.64,3.62,-2.1,"IND"
"10","Greg Olsen",13.140975147287,"TE",5800,441.367549591434,12.4,467.741935483871,70,68.84,2.95,0.9,"CAR"
"11","Eric Ebron",10.8935454676525,"TE",3700,339.650668461139,11.9,310.924369747899,80,68,3.44,0.1,"DET"
"12","Hunter Henry",7.81354506987133,"TE",2500,319.957199663426,11.2,223.214285714286,80,76.18,4.42,2.3,"SD"
"13","Dennis Pitta",12.5931845317523,"TE",3400,269.987308724595,10.2,333.333333333333,50,62.14,4.81,-2.5,"BAL"
"14","Jordan Reed",11.2309604216698,"TE",6500,578.757270612264,9.6,677.083333333333,60,66.71,3.62,5.6,"WAS"
"15","Brent Celek",3.5281013588477,"TE",2800,793.627992851797,9.1,307.692307692308,90,58.66,0.45,-1.3,"PHI"
"16","John Phillips",4.03729746601402,"TE",2500,619.226108812889,8.9,280.898876404494,90,41.39,-1.38,1.7,"DEN"
"17","Richard Rodgers",5.728982366204,"TE",2700,471.287888042324,8.9,303.370786516854,90,52.43,-0.06,8.2,"GB"
"18","Dion Sims",5.70025645713755,"TE",2500,438.576758571912,8.6,290.697674418605,90,43.05,-2.08,1.9,"MIA"
"19","Dwayne Allen",11.6924242460027,"TE",3800,324.996760299653,6.5,584.615384615385,70,67.5,3.55,-2.1,"IND"
"20","Jacob Tamme",NA,"TE",3200,NA,5.8,551.724137931035,50,78.01,4.79,-1.7,"ATL"
"21","Garrett Celek",3.20552361330778,"TE",2500,779.903785335167,5.5,454.545454545455,90,41.62,-1.88,-1.5,"SF"
"22","C.J. Uzomah",5.59690433356456,"TE",2500,446.675492558902,5.1,490.196078431373,90,60.69,-0.28,0.5,"CIN"
"23","Marcedes Lewis",3.27186238868986,"TE",2500,764.090815262273,5,500,90,46.27,-2.18,1.7,"JAX"
"24","Clive Walford",5.59657124812557,"TE",2800,500.306326116689,4.7,595.744680851064,80,83.77,4.15,1.3,"OAK"
"25","Jason Witten",11.5962977066768,"TE",4300,370.808003447874,4.5,955.555555555556,80,59.55,3.7,-0.1,"DAL"
"26","Will Tye",7.1300079030085,"TE",2600,364.655977296033,4.4,590.909090909091,90,68.79,0.33,3.3,"NYG"
"27","Larry Donnell",6.808674562918,"TE",2700,396.552952421162,4.1,658.536585365854,90,68.84,0.04,3.3,"NYG"
"28","Trey Burton",4.31116891069004,"TE",2500,579.88913257399,3.9,641.025641025641,70,66.78,2.82,-1.3,"PHI"
"29","Martellus Bennett",1.7869067654993,"TE",4700,2630.2435531306,3.6,1305.55555555556,50,32.3,-0.46,-2.8,"NE"
"30","Darren Fells",1.67567516490212,"TE",2500,1491.93593863763,3.5,714.285714285714,90,54.73,-0.08,0.2,"ARI"
"31","Julius Thomas",10.1079324392101,"TE",4600,455.088122884158,3.3,1393.93939393939,80,54.62,2.43,1.7,"JAX"
"32","Jesse James",5.16668045130384,"TE",3500,677.417547492561,3,1166.66666666667,70,56.58,3.32,8.8,"PIT"
"33","Luke Willson",4.02814845927872,"TE",2500,620.632537572274,2.9,862.068965517241,90,52.45,-1.78,1.9,"SEA"
"34","Jared Cook",5.74057645686441,"TE",2900,505.175747033604,2.5,1160,80,75.89,3.16,8.2,"GB"
"35","Vance McDonald",4.04553458956924,"TE",2900,716.839749059909,2.4,1208.33333333333,80,60.79,1.76,-1.5,"SF"
"36","Sean McGrath",7.83800001040196,"TE",2500,318.958917668053,2.3,1086.95652173913,90,44.26,-1.68,2.3,"SD"
"37","Jordan Cameron",6.89548770895547,"TE",2900,420.564885676418,1.5,1933.33333333333,80,80.88,2.86,1.9,"MIA"
"38","Lee Smith",1.26838588719668,"TE",2500,1971.00900067989,1.4,1785.71428571429,90,44.25,-1.58,1.3,"OAK"
"39","Jermaine Gresham",1.6216607402824,"TE",2500,1541.62947767031,0,Inf,90,47.88,-1.08,0.2,"ARI"
