"","V1","PP","Position","Salary","Proj$/Pt.","ActualPoints","Actual$/Pt.","OwnershipPred","NA","ProjPlusMinus","OppPlusMinus","Team"
"1","Lions",9.53678979670413,"D",2900,304.085553086451,3,966.666666666667,80,49.3,-1.73,-1.2,"DET"
"2","Packers",8.00764909120858,"D",3200,399.617910768993,10,320,50,56.1,0.22,-1.5,"GB"
"3","Texans",6.98493902730454,"D",3800,544.027655094135,10,380,20,41.4,1.92,-3.3,"HOU"
"4","Dolphins",1.70174040363067,"D",2700,1586.61097441157,4,675,80,23.3,0.21,-5.2,"MIA"
"5","Giants",4.53778497165018,"D",3100,683.152687790906,1,3100,80,25.2,-1.06,-4.5,"NYG"
"6","Raiders",6.30243046035126,"D",3000,476.00683877007,0,Inf,30,61.95,0.86,-0.6,"OAK"
"7","Steelers",9.13921256648879,"D",3500,382.965159693695,18,194.444444444444,60,31.4,-0.43,-4.4,"PIT"
