"","TEModel.Properties.Player_Name","TEP","TEModel.Properties.Position","TEModel.Properties.Salary","TEModel.Properties.Salary.TEP","TEModel.ActualPoints","TEModel.Properties.Salary.TEModel.ActualPoints","c.TEModel.Properties.OwnRank.","naTE","TEModel.Properties.ProjPlusMinus","TEModel.Properties.OppPlusMinus","TEModel.TeamName"
"1","Will Tye",11.3460438503987,"TE",2800,246.782053455717,10.6,264.150943396226,70,61.38,2.75,2.2,"NYG"
"2","Jared Cook",8.04131557663707,"TE",3600,447.687939329144,9.8,367.34693877551,30,45.35,1.33,0.7,"GB"
"3","Dion Sims",5.30874966532131,"TE",2500,470.920679558675,8.4,297.619047619048,80,70.95,2.12,1.3,"MIA"
"4","Jimmy Graham",13.2165233599627,"TE",5300,401.013175375263,6.7,791.044776119403,30,59.36,2.6,0.5,"SEA"
"5","Ryan Griffin",9.06294976514009,"TE",2900,319.984119425953,5.9,491.525423728814,90,35.49,-0.44,1.1,"HOU"
"6","C.J. Fiedorowicz",13.2551284213692,"TE",4200,316.858491784129,5.5,763.636363636364,50,46.06,1.49,1.1,"HOU"
"7","Eric Ebron",2.27264369283767,"TE",3900,1716.06310848067,4.3,906.976744186047,40,60.1,3.56,0.1,"DET"
"8","Clive Walford",2.67008890441274,"TE",2500,936.298411587854,3.6,694.444444444444,80,52.46,0.12,0.4,"OAK"
"9","Jesse James",4.92738686894039,"TE",3000,608.841984563947,1.6,1875,70,45.89,1.47,5.2,"PIT"
"10","Luke Willson",10.102568942662,"TE",2500,247.46181037605,1.4,1785.71428571429,90,41.51,-1.78,0.5,"SEA"
"11","Xavier Grimble",2.16720675223999,"TE",2500,1153.55860598719,0,Inf,90,57.49,0.82,5.2,"PIT"
"12","Jerell Adams",4.87568970123118,"TE",2500,512.747970685812,0,Inf,90,41.38,-2.08,2.2,"NYG"
"13","Richard Rodgers",6.26916979929296,"TE",2500,398.776884346305,0,Inf,90,51.12,-1.08,0.7,"GB"
