"","QBModel.Properties.Player_Name","QBP","QBModel.Properties.Position","QBModel.Properties.Salary","QBModel.Properties.Salary.QBP","QBModel.ActualPoints","QBModel.Properties.Salary.QBModel.ActualPoints","c.QBModel.Properties.OwnRank.","naQB","QBModel.Properties.ProjPlusMinus","QBModel.Properties.OppPlusMinus","QBModel.TeamName"
"1","Aaron Rodgers",31.6527693573634,"QB",8600,271.698185485921,30.5,281.967213114754,30,59.14,1.53,-4.6,"GB"
"2","Brock Osweiler",12.4639700154681,"QB",6700,537.549431817082,18.2,368.131868131868,80,36.68,-0.64,-0.3,"HOU"
"3","Russell Wilson",12.7475599013993,"QB",7700,604.037169431522,16.7,461.077844311377,40,65.39,2.56,-1.1,"SEA"
"4","Ben Roethlisberger",21.7142045169171,"QB",8500,391.448832186222,14.9,570.469798657718,20,64.63,2.3,4.1,"PIT"
"5","Eli Manning",13.8906720803005,"QB",7500,539.930678418098,14.1,531.914893617021,60,44.98,0.3,4.5,"NYG"
"6","Matt Moore",12.268663110405,"QB",6900,562.408466016816,10.8,638.888888888889,70,26.44,-0.08,-2.7,"MIA"
"7","Matthew Stafford",19.8934698453682,"QB",7200,361.927811285087,9.7,742.268041237113,70,40.58,0.21,-2.8,"DET"
"8","Connor Cook",16.217070205368,"QB",6100,376.146857770946,7.4,824.324324324324,80,34.07,0.18,-1.7,"OAK"
