"","TEModel.Properties.Player_Name","TEP","TEModel.Properties.Position","TEModel.Properties.Salary","TEModel.Properties.Salary.TEP","TEModel.ActualPoints","TEModel.Properties.Salary.TEModel.ActualPoints","c.TEModel.Properties.OwnRank.","naTE","TEModel.Properties.ProjPlusMinus","TEModel.Properties.OppPlusMinus","TEModel.TeamName"
"1","Richard Rodgers",6.13551779413016,"TE",2500,407.463572576017,0,Inf,70,60.14,0.22,3.1,"GB"
"2","Jared Cook",9.1305960789968,"TE",5100,558.561561137458,0,Inf,50,56.75,3.18,3.1,"GB"
"3","Levine Toilolo",2.97318173951074,"TE",2500,840.85004518136,0,Inf,90,44.7,-1.88,1.5,"ATL"
"4","Austin Hooper",3.04822514554264,"TE",2500,820.149392066954,0,Inf,80,59.91,1.32,1.5,"ATL"
"5","Xavier Grimble",1.12660678678894,"TE",2500,2219.05284906504,0,Inf,90,36.33,-2.28,-1.1,"PIT"
"6","Jesse James",4.77401710666821,"TE",2700,565.561442213669,0,Inf,50,60.78,1.94,-1.1,"PIT"
"7","Martellus Bennett",9.30435068072886,"TE",3300,354.672788380058,0,Inf,50,78.56,3.1,1,"NE"
