"","QBModel.Properties.Player_Name","QBP"
"1","Tom Brady",25.9451650142632
"2","Joe Flacco",17.3842674794929
"3","Matt Ryan",15.7593064477702
"4","Aaron Rodgers",21.087712124138
"5","Trevor Siemian",22.9347848839301
"6","Andrew Luck",20.7456422914108
"7","Matthew Stafford",NA
"8","Carson Wentz",17.637572394429
"9","Sam Bradford",13.2851821512615
"10","Kirk Cousins",14.4445031661534
"11","Andy Dalton",16.4537415443233
"12","Tyrod Taylor",13.5118277062858
"13","Blake Bortles",16.303031398076
"14","Alex Smith",14.2809480756079
"15","Carson Palmer",18.3300329540464
"16","Bryce Petty",10.9989189607133
"17","Jared Goff",12.8014215388159
"18","Cam Newton",17.7632605666743
"19","Matt Barkley",NA
"20","Philip Rivers",13.015079144299
"21","Robert Griffin",10.2598091483798
"22","Colin Kaepernick",12.23606084716
"23","Russell Wilson",12.9212672081332
"24","Jameis Winston",13.8084005414228
"25","Dak Prescott",15.8139936884915
"26","Eli Manning",13.9454207559282
"27","Drew Brees",18.6651075051844
"28","Marcus Mariota",6.32018747184329
"29","Ben Roethlisberger",12.4804966269739
"30","Derek Carr",10.3940753567055
"31","Brock Osweiler",5.42616949075333
