"","V1","PP","Position","Salary","Proj$/Pt.","ActualPoints","Actual$/Pt.","OwnershipPred","NA","ProjPlusMinus","OppPlusMinus","Team"
"1","Falcons",5.1718344686802,"D",2600,502.722973007969,0,Inf,40,59.15,-0.37,-1,"ATL"
"2","Cowboys",6.17075263469212,"D",2700,437.547923217751,0,Inf,70,19.7,-0.99,-6.8,"DAL"
"3","Packers",8.96785759128407,"D",2800,312.226189086827,0,Inf,70,44.35,0.69,-2.8,"GB"
"4","Texans",2.9563048631936,"D",2300,777.998246606875,0,Inf,90,21.05,0.88,-8.4,"HOU"
"5","Chiefs",8.5507709184085,"D",3400,397.624966502181,0,Inf,60,30.35,1.19,-5.2,"KC"
"6","Patriots",10.5530524368018,"D",4000,379.037252392563,0,Inf,8,72.7,-0.01,0.1,"NE"
"7","Steelers",7.92897830601433,"D",2900,365.746996406873,0,Inf,50,31.9,1.07,-5.1,"PIT"
