"","RBModel.Properties.Player_Name","RBP","RBModel.Properties.Position","RBModel.Properties.Salary","RBModel.Properties.Salary.RBP","RBModel.ActualPoints","RBModel.Properties.Salary.RBModel.ActualPoints","c.RBModel.Properties.OwnRank.","naRB","RBModel.Properties.ProjPlusMinus","RBModel.Properties.OppPlusMinus","RBModel.TeamName"
"1","David Johnson",25.054488371854,"RB",9200,367.199675501464,34.6,265.895953757225,50,70.05,1.83,-2.6,"ARI"
"2","Le'Veon Bell",29.4644753551379,"RB",9400,319.028249670187,31.7,296.529968454259,90,75.15,2.76,-1.7,"PIT"
"3","Jay Ajayi",14.0940406038854,"RB",5600,397.331053413896,30.9,181.229773462783,80,77.85,2.85,0.8,"MIA"
"4","LeSean McCoy",22.2775180677804,"RB",9000,403.994734629643,28.5,315.789473684211,20,77.05,1.1,1.4,"BUF"
"5","Mark Ingram",16.7171689539171,"RB",4400,263.202460424318,25.3,173.913043478261,80,82.1,5.25,-2.7,"NO"
"6","DeAndre Washington",5.65317131170335,"RB",3300,583.743144873082,24.7,133.603238866397,90,41.05,-1.63,-2.6,"OAK"
"7","Zach Zenner",7.45899984207038,"RB",3200,429.011940977838,23.2,137.931034482759,50,66.85,2.56,-0.4,"DET"
"8","Tevin Coleman",10.8415893353354,"RB",5000,461.186994392398,22.5,222.222222222222,90,60.45,-0.15,-0.9,"ATL"
"9","Ezekiel Elliott",18.1791143904436,"RB",7900,434.564623464433,22.2,355.855855855856,50,76.9,2.82,-2.4,"DAL"
"10","Isaiah Crowell",16.2075996106827,"RB",4100,252.967749604181,21.8,188.073394495413,90,79.15,5.3,-2,"CLE"
"11","Chris Ivory",6.09234584204004,"RB",3600,590.905390688479,20.4,176.470588235294,90,66,1.72,0.1,"JAX"
"12","Alfred Blue",9.53794503122456,"RB",4300,450.830864082672,19,226.315789473684,90,65.1,1.34,-0.3,"HOU"
"13","Todd Gurley",18.4488597405407,"RB",6500,352.325297683113,17.7,367.231638418079,50,76.8,1.19,2,"LA"
"14","LeGarrette Blount",11.6442012922645,"RB",5600,480.926072938999,17,329.411764705882,60,72.05,-0.25,1.3,"NE"
"15","Jalen Richard",8.685281169604,"RB",3600,414.494353113054,16.9,213.01775147929,90,52.55,0.42,-2.6,"OAK"
"16","Jordan Howard",19.2055001138184,"RB",6300,328.031030833045,16.8,375,20,80.7,4.36,-0.4,"CHI"
"17","Devonta Freeman",17.9615902880275,"RB",7100,395.28793865945,16.8,422.619047619048,70,66.8,-0.91,-0.9,"ATL"
"18","Chris Thompson",10.8773003610909,"RB",3700,340.157932315196,16.7,221.556886227545,90,64.4,2.14,-1.2,"WAS"
"19","Jacquizz Rodgers",11.8372371539273,"RB",4200,354.812524695134,15.8,265.822784810127,50,62.45,1.42,-1.1,"TB"
"20","Darren Sproles",9.34296526590701,"RB",3900,417.426361867288,14.3,272.727272727273,50,71.75,3.17,-0.7,"PHI"
"21","Carlos Hyde",13.3280322168244,"RB",5800,435.173017715134,14.2,408.450704225352,80,77.05,3.48,-1,"SF"
"22","James White",8.29410709070775,"RB",3800,458.156611488331,13.6,279.411764705882,90,69.2,1.55,1.3,"NE"
"23","Jerick McKinnon",14.2126103017595,"RB",4000,281.440208031652,13.5,296.296296296296,90,76.75,3.59,0.8,"MIN"
"24","Shaun Draughn",3.89906836537867,"RB",3000,769.414567499804,12.5,240,90,48.15,0.03,-1,"SF"
"25","Devontae Booker",10.9416003473713,"RB",3700,338.158942250978,12.1,305.785123966942,90,72.9,3.74,0.1,"DEN"
"26","Robert Turbin",9.11165412569835,"RB",3600,395.09840368574,10.9,330.275229357798,90,55.1,-0.08,-0.7,"IND"
"27","Rex Burkhead",6.29242913664596,"RB",3500,556.223983456029,10.7,327.102803738318,90,65.2,2.41,-0.3,"CIN"
"28","Kyle Juszczyk",3.33201323204543,"RB",3000,900.356568559717,10.5,285.714285714286,90,42.7,-0.97,-1.8,"BAL"
"29","Spencer Ware",11.9761577654422,"RB",5300,442.545940342689,10.2,519.607843137255,90,80.75,4.3,0,"KC"
"30","Rob Kelley",12.5816253182448,"RB",5200,413.301133078523,10.2,509.803921568627,90,68.45,1.38,-1.2,"WAS"
"31","Kenneth Farrow",9.87072396911807,"RB",5000,506.548457402232,9.7,515.463917525773,80,69.45,0.65,2.6,"SD"
"32","Travaris Cadet",6.1428364953111,"RB",3100,504.652859044233,9.6,322.916666666667,90,39.8,-1.56,-2.7,"NO"
"33","Matt Asiata",7.72315592445618,"RB",3100,401.390316383944,9.4,329.787234042553,90,73.85,3.34,0.8,"MIN"
"34","Bilal Powell",15.4815251925009,"RB",6000,387.558714364032,9.4,638.297872340426,30,77.3,4.01,-0.7,"NYJ"
"35","Jeremy Langford",5.28385085775624,"RB",4000,757.023638191517,9.3,430.10752688172,90,35.65,-4.71,-0.4,"CHI"
"36","Rashad Jennings",11.174216287402,"RB",4400,393.763632887671,9.1,483.516483516484,50,76.65,3.75,0.3,"NYG"
"37","Mike Gillislee",7.37532705794475,"RB",4500,610.142433636563,9.1,494.505494505495,90,46.05,-4.03,1.4,"BUF"
"38","Paul Perkins",7.39687941839066,"RB",3200,432.6148662156,8.7,367.816091954023,50,70.55,3.26,0.3,"NYG"
"39","Alex Collins",1.95991068290033,"RB",3000,1530.68199799825,8.7,344.827586206897,90,35.25,-2.27,-1.1,"SEA"
