"","RBModel.Properties.Player_Name","RBP","RBModel.Properties.Position","RBModel.Properties.Salary","RBModel.Properties.Salary.RBP","RBModel.ActualPoints","RBModel.Properties.Salary.RBModel.ActualPoints","c.RBModel.Properties.OwnRank.","naRB","RBModel.Properties.ProjPlusMinus","RBModel.Properties.OppPlusMinus","RBModel.TeamName"
"40","Terrance West",7.44007747914202,"RB",4400,591.391690790215,8.5,517.647058823529,90,54.3,-0.05,-1.8,"BAL"
"41","Frank Gore",15.0673266309883,"RB",4800,318.570116488219,8.5,564.705882352941,80,83.4,5.52,-0.7,"IND"
"42","Charles Sims",13.4574480369821,"RB",3800,282.371515725516,8.2,463.414634146341,90,85.25,8.05,-1.1,"TB"
"43","Ty Montgomery",15.0404873761449,"RB",5900,392.274522257686,8,737.5,40,76.35,2.09,1.5,"GB"
"44","DeMarco Murray",8.36900286620055,"RB",7000,836.419835422752,8,875,50,86.95,4.07,1.4,"TEN"
"45","Ryan Mathews",11.3684085024783,"RB",4000,351.852240278664,7.2,555.555555555556,50,70.25,2.69,-0.7,"PHI"
"46","Justin Forsett",10.8284254441109,"RB",3600,332.458307865792,7.1,507.042253521127,90,80.5,5.52,0.1,"DEN"
"47","Damien Williams",5.20180239379761,"RB",3900,749.740129430941,7.1,549.295774647887,90,49.55,-1.53,0.8,"MIA"
"48","Latavius Murray",13.8123907632103,"RB",6200,448.872328207937,7.1,873.239436619718,60,72.8,2.14,-2.6,"OAK"
"49","Duke Johnson",14.4380605989187,"RB",3500,242.414829610989,6.9,507.246376811594,90,69.5,3.61,-2,"CLE"
"50","Kenneth Dixon",10.2450025641531,"RB",4200,409.955973529538,6.8,617.647058823529,90,67,2.72,-1.8,"BAL"
"51","Dion Lewis",11.6362884077331,"RB",4100,352.34602790313,6.7,611.940298507463,80,72.8,2,1.3,"NE"
"52","Jonathan Stewart",13.3403249212189,"RB",5200,389.795603233693,6.2,838.709677419355,70,82.7,3.28,2.1,"CAR"
"53","Derrick Henry",6.16835908529168,"RB",4900,794.37658091014,5.5,890.909090909091,90,55.1,-3.07,1.4,"TEN"
"54","Fozzy Whittaker",3.16878222046082,"RB",3000,946.735935536689,5.4,555.555555555556,90,44.7,-1.87,2.1,"CAR"
"55","Akeem Hunt",4.14908090811455,"RB",3000,723.051699023936,5.4,555.555555555556,90,52.55,0.23,-0.3,"HOU"
"56","Tim Hightower",13.1404983913019,"RB",4000,304.40245726507,5,800,90,68.55,2.89,-2.7,"NO"
"57","Darren McFadden",1.98267760172587,"RB",3500,1765.28952410283,4.9,714.285714285714,50,40.7,-2.29,-2.4,"DAL"
"58","Charcandrick West",4.05712091650098,"RB",4100,1010.56884534169,4.8,854.166666666667,90,45.35,-2.7,0,"KC"
"59","Dwayne Washington",11.0610338032224,"RB",3400,307.38537287622,3.6,944.444444444444,50,83.75,5.29,-0.4,"DET"
"60","John Kuhn",3.26071687562006,"RB",3000,920.043080842314,2,1500,90,32.45,-2.57,-2.7,"NO"
"61","Marcel Reece",0.307141087395556,"RB",3000,9767.49814047643,2,1500,90,44.1,-0.47,-1.1,"SEA"
"62","Christine Michael",3.63765319721535,"RB",3500,962.158790364974,1.5,2333.33333333333,90,53.3,-0.99,1.5,"GB"
"63","Thomas Rawls",9.87317896643323,"RB",5100,516.550952569476,0.8,6375,80,72.85,2.76,-1.1,"SEA"
"64","Jeremy Hill",10.4623176790993,"RB",5300,506.579914944458,0.8,6625,80,78.1,3.4,-0.3,"CIN"
"65","Ronnie Hillman",4.66923075785259,"RB",3400,728.17133620607,0.6,5666.66666666667,90,58.9,0.29,2.6,"SD"
"66","T.J. Yeldon",9.8311051147793,"RB",3800,386.528264689936,0.5,7600,90,78.9,4.05,0.1,"JAX"
"67","Mike Tolbert",2.86967469728276,"RB",3000,1045.41466070724,0.3,10000,90,42.65,-2.17,2.1,"CAR"
"68","Malcolm Brown",5.90809678630884,"RB",3000,507.777734270039,0.2,15000,90,51.2,-0.47,2,"LA"
"69","Lance Dunbar",2.55383734252028,"RB",3000,1174.70284816159,0,Inf,50,35.1,-2.37,-2.4,"DAL"
"70","DeAngelo Williams",3.83285625363229,"RB",5500,1434.96119761543,0,Inf,90,36.1,-8.87,-1.7,"PIT"
"71","Byron Marshall",1.67220614674755,"RB",3000,1794.037180066,0,Inf,50,37.85,-2.07,-0.7,"PHI"
"72","Taiwan Jones",0.487372155947412,"RB",3000,6155.4603876954,0,Inf,90,36.25,-2.17,-2.6,"OAK"
"73","Jamize Olawale",2.14003380563318,"RB",3000,1401.84701386639,0,Inf,90,35.35,-2.17,-2.6,"OAK"
"74","Andre Ellington",3.12910939397967,"RB",3500,1118.52912740408,0,Inf,90,26.05,-3.99,-2.6,"ARI"
