"","V1","PP","Position","Salary","Proj$/Pt.","ActualPoints","Actual$/Pt.","OwnershipPred","NA","ProjPlusMinus","OppPlusMinus","Team"
"1","Falcons",5.16940047113984,"D",2600,502.959678693012,0,Inf,40,59.15,-0.37,-1,"ATL"
"2","Cowboys",6.74393229987233,"D",2700,400.3598909276,0,Inf,70,19.7,-0.99,-6.8,"DAL"
"3","Packers",9.73072535721955,"D",2800,287.74833295676,0,Inf,70,44.35,0.69,-2.8,"GB"
"4","Texans",3.10607271149329,"D",2300,740.484918942622,0,Inf,90,21.05,0.88,-8.4,"HOU"
"5","Chiefs",8.59571355640803,"D",3400,395.545986693022,0,Inf,60,30.35,1.19,-5.2,"KC"
"6","Patriots",10.7028202851015,"D",4000,373.733267816153,0,Inf,8,72.7,-0.01,0.1,"NE"
"7","Steelers",7.97778433942199,"D",2900,363.509450320653,0,Inf,50,31.9,1.07,-5.1,"PIT"
