"","WRModel.Properties.Player_Name","WRP","WRModel.Properties.Position","WRModel.Properties.Salary","WRModel.Properties.Salary.WRP","WRModel.ActualPoints","WRModel.Properties.Salary.WRModel.ActualPoints","c.WRModel.Properties.OwnRank.","naWR","WRModel.Properties.ProjPlusMinus","WRModel.Properties.OppPlusMinus","WRModel.TeamName"
"1","Adam Thielen",13.0037973865427,"WR",4600,353.742823212582,47.6,96.6386554621849,90,72.25,2.65,1.9,"MIN"
"2","Doug Baldwin",2.57097021889948,"WR",6000,2333.74931996231,39.7,151.133501259446,80,79.7,2.94,1.4,"SEA"
"3","Jordy Nelson",16.0234370156444,"WR",7000,436.860081464769,39.4,177.664974619289,40,81.65,3.55,-1.3,"GB"
"4","Cameron Meredith",8.40299140686052,"WR",4700,559.324622914971,31.5,149.206349206349,50,70.7,2.62,-1.2,"CHI"
"5","Sammy Watkins",6.15645396008235,"WR",5000,812.155833929621,31.4,159.235668789809,80,61.8,1.03,-1.1,"BUF"
"6","Odell Beckham",21.2024564205538,"WR",8600,405.61337938481,29,296.551724137931,50,76.95,2.38,0.3,"NYG"
"7","Brandon LaFell",9.16594277265248,"WR",4800,523.677718599912,28,171.428571428571,90,70.3,2.59,-1.3,"CIN"
"8","Dez Bryant",15.3125131668331,"WR",6500,424.489430910596,27.4,237.226277372263,50,75.55,2.8,-1.6,"DAL"
"9","Allen Robinson",6.97663388112287,"WR",4600,659.343757803677,26.7,172.284644194757,70,76.5,2.65,1.7,"JAX"
"10","Antonio Brown",13.3776911028966,"WR",8200,612.960782016001,25.6,320.3125,90,90.9,5.6,-0.1,"PIT"
"11","Jamarcus Nelson",4.63821378033891,"WR",4400,948.641052003968,25.2,174.603174603175,80,66,1.91,0.3,"ARI"
"12","Steve Smith",10.8855652773372,"WR",5100,468.510350180689,22.9,222.707423580786,90,75.05,3.31,-1.8,"BAL"
"13","Mike Evans",NA,"WR",8500,NA,22.7,374.449339207048,50,73.4,2.01,-0.5,"TB"
"14","T.Y. Hilton",16.8189634348305,"WR",7800,463.762230664401,19.5,400,40,73.15,2.11,-1.1,"IND"
"15","DeSean Jackson",13.3651684775914,"WR",5500,411.517446205152,19.4,283.505154639175,70,67.85,1.99,-0.4,"WAS"
"16","Sterling Shepard",14.0191234393396,"WR",4600,328.123225385958,19.3,238.341968911917,50,70.55,2.15,0.3,"NYG"
"17","DeVante Parker",15.4153411298423,"WR",4200,272.455858396108,18.5,227.027027027027,90,68.8,2.17,-1.6,"MIA"
"18","Rod Streater",7.73596044381059,"WR",3000,387.799294191098,18.3,163.934426229508,90,63.3,1.92,1.6,"SF"
"19","Marqise Lee",3.14096560166894,"WR",4300,1369.00575979413,17.5,245.714285714286,70,69.25,1.44,1.7,"JAX"
"20","Victor Cruz",12.9662446731152,"WR",3300,254.506997453346,16.4,201.219512195122,50,49.85,0.03,0.3,"NYG"
"21","Tyrell Williams",15.8513313841792,"WR",5800,365.899864145724,16.4,353.658536585366,70,63.85,1.5,-3.4,"SD"
