"","WRModel.Properties.Player_Name","WRP","WRModel.Properties.Position","WRModel.Properties.Salary","WRModel.Properties.Salary.WRP","WRModel.ActualPoints","WRModel.Properties.Salary.WRModel.ActualPoints","c.WRModel.Properties.OwnRank.","naWR","WRModel.Properties.ProjPlusMinus","WRModel.Properties.OppPlusMinus","WRModel.TeamName"
"1","Doug Baldwin",14.6006636123053,"WR",8100,554.769304675534,0,Inf,40,66.6,1.33,-1.4,"SEA"
"2","Tanner McEvoy",4.48354335542895,"WR",3000,669.113636732745,0,Inf,90,24.35,-3.88,-1.4,"SEA"
"3","Paul Richardson",10.1262320890799,"WR",4100,404.889001548902,0,Inf,40,61.35,1.6,-1.4,"SEA"
"4","Jermaine Kearse",8.24409166234232,"WR",3300,400.286670158444,0,Inf,80,67.65,2.33,-1.4,"SEA"
"5","Aldrick Robinson",4.17869971579744,"WR",3400,813.650233623252,0,Inf,90,23.75,-4.4,-0.8,"ATL"
"6","Taylor Gabriel",7.8353677213068,"WR",4400,561.556286380157,0,Inf,80,57.9,0.51,-0.8,"ATL"
"7","Mohamed Sanu",10.8476391222839,"WR",4000,368.743830331059,0,Inf,70,66.8,1.73,-0.8,"ATL"
"8","Julio Jones",15.0501959209583,"WR",8400,558.13226911568,0,Inf,8,62.45,0.04,-0.8,"ATL"
"9","Justin Hardy",3.92106885569507,"WR",3000,765.097505401547,0,Inf,90,34.7,-2.78,-0.8,"ATL"
"10","Will Fuller",6.14512627015709,"WR",3600,585.830110193646,0,Inf,80,53,1.25,-1.2,"HOU"
"11","Keith Mumphery",3.86993479242914,"WR",3000,775.206860298779,0,Inf,90,30.2,-2.28,-1.2,"HOU"
"12","DeAndre Hopkins",11.0543597357329,"WR",5800,524.679867369585,0,Inf,70,58.45,0.8,-1.2,"HOU"
"13","Chris Hogan",7.05204661703757,"WR",3900,553.030944318731,0,Inf,80,53.3,-0.24,-0.3,"NE"
"14","Danny Amendola",3.48279307244017,"WR",3500,1004.94055409033,0,Inf,90,42.15,-1.63,-0.3,"NE"
"15","Michael Floyd",7.35242077273601,"WR",3800,516.836579061284,0,Inf,70,59.3,0.69,-0.3,"NE"
"16","Julian Edelman",15.091679525932,"WR",6800,450.57940624273,0,Inf,8,79.35,2.51,-0.3,"NE"
"17","Antonio Brown",18.6317896455316,"WR",9600,515.248410519831,0,Inf,30,53.95,-0.91,-2.8,"PIT"
"18","Eli Rogers",8.28025833823925,"WR",3900,470.999797432566,0,Inf,80,56.15,1.06,-2.8,"PIT"
"19","Cobi Hamilton",4.48414012512784,"WR",3000,669.024588056215,0,Inf,90,30.1,-2.38,-2.8,"PIT"
"20","Darrius Heyward-Bey",3.96979564137356,"WR",3000,755.706406832064,0,Inf,90,29,-2.48,-2.8,"PIT"
"21","Albert Wilson",4.15474397847693,"WR",3000,722.066152701846,0,Inf,90,31.7,-2.68,-0.3,"KC"
"22","Tyreek Hill",23.087437076327,"WR",5500,238.22479653402,0,Inf,40,55.2,0.49,-0.3,"KC"
"23","Jeremy Maclin",8.36516883555028,"WR",4300,514.036247747429,0,Inf,70,64.85,1.84,-0.3,"KC"
"24","Chris Conley",6.80441652216818,"WR",3000,440.890117503281,0,Inf,80,53.15,0.82,-0.3,"KC"
"25","Jeff Janis",3.50950857410989,"WR",3000,854.820535881119,0,Inf,90,30.3,-2.68,-1.9,"GB"
"26","Randall Cobb",15.6237410515406,"WR",5700,364.829395289929,0,Inf,50,75.95,3.23,-1.9,"GB"
"27","Davante Adams",13.7783548429788,"WR",7000,508.043237365677,0,Inf,8,79.15,3.65,-1.9,"GB"
"28","Geronimo Allison",8.58191850855116,"WR",3900,454.44383981437,0,Inf,50,68.95,2.66,-1.9,"GB"
"29","Cole Beasley",10.336759219409,"WR",5000,483.710599605693,0,Inf,70,67.65,0.73,2.7,"DAL"
"30","Terrance Williams",9.54314466453514,"WR",3100,324.840512113415,0,Inf,70,72.45,2.19,2.7,"DAL"
"31","Dez Bryant",13.6092760017951,"WR",6600,484.963344055148,0,Inf,30,76.95,1.67,2.7,"DAL"
