"","TEModel.Properties.Player_Name","TEP"
"1","Zach Ertz",18.7585598673727
"2","Tyler Eifert",16.8360909853725
"3","Travis Kelce",11.5926925913155
"4","Martellus Bennett",9.11303239036056
"5","Kyle Rudolph",8.58812373944744
"6","Charles Clay",10.8697726978693
"7","Trey Burton",14.8350945268019
"8","Greg Olsen",14.3971444296369
"9","Antonio Gates",7.14526703794161
"10","Jack Doyle",3.35398204659481
"11","Daniel Brown",NA
"12","A.J. Derby",8.9688966763824
"13","Jermaine Gresham",7.53241862374219
"14","Hunter Henry",7.31783712122448
"15","Dion Sims",7.19061800870891
"16","Cameron Brate",9.21852651031995
"17","Eric Ebron",NA
"18","Jason Witten",4.85104110110903
"19","Austin Seferian-Jenkins",4.35801776113927
"20","C.J. Fiedorowicz",5.58358781300849
"21","Delanie Walker",13.629873483864
"22","Dennis Pitta",5.60150283264549
"23","Gary Barnidge",5.69211939407077
"24","Neal Sterling",3.62922931488002
"25","Ladarius Green",1.17778719238641
"26","Ryan Griffin",7.22340095576413
"27","Clive Walford",5.29350915019851
"28","Will Tye",7.62948503866657
"29","Ben Koyack",6.67160076721669
"30","Jerell Adams",2.53109823524797
"31","Levine Toilolo",5.30091878878073
"32","Jimmy Graham",7.65519743520432
"33","Jared Cook",9.28650371244313
"34","Lance Kendricks",6.58987406927318
"35","Jordan Reed",1.94264996428432
"36","Richard Rodgers",3.61808863074649
"37","John Phillips",1.80000000000046
"38","Coby Fleener",7.06974101084401
"39","Jesse James",-0.107544516037729
"40","Garrett Celek",5.39524440350837
"41","Austin Hooper",3.55086195478589
"42","Vernon Davis",0.963035038923514
"43","Virgil Green",2.28844554623038
"44","Dwayne Allen",-1.45296063492457
"45","Logan Paulsen",NA
"46","Ben Braunecker",NA
"47","Vance McDonald",8.33493207871738
