"","WRModel.Properties.Player_Name","WRP","WRModel.Properties.Position","WRModel.Properties.Salary","WRModel.Properties.Salary.WRP","WRModel.ActualPoints","WRModel.Properties.Salary.WRModel.ActualPoints","c.WRModel.Properties.OwnRank.","naWR","WRModel.Properties.ProjPlusMinus","WRModel.Properties.OppPlusMinus","WRModel.TeamName"
"1","Doug Baldwin",14.5882052572655,"WR",8100,555.243078717025,0,Inf,40,66.6,1.33,-1.4,"SEA"
"2","Tanner McEvoy",4.47108500038913,"WR",3000,670.978073496456,0,Inf,90,24.35,-3.88,-1.4,"SEA"
"3","Paul Richardson",10.1137737340401,"WR",4100,405.387752170149,0,Inf,40,61.35,1.6,-1.4,"SEA"
"4","Jermaine Kearse",8.23163330730252,"WR",3300,400.892493239765,0,Inf,80,67.65,2.33,-1.4,"SEA"
"5","Aldrick Robinson",4.19115807083723,"WR",3400,811.231631576427,0,Inf,90,23.75,-4.4,-0.8,"ATL"
"6","Taylor Gabriel",7.8478260763466,"WR",4400,560.664820702593,0,Inf,80,57.9,0.51,-0.8,"ATL"
"7","Mohamed Sanu",10.8600974773237,"WR",4000,368.320819251592,0,Inf,70,66.8,1.73,-0.8,"ATL"
"8","Julio Jones",15.0626542759981,"WR",8400,557.670636667613,0,Inf,8,62.45,0.04,-0.8,"ATL"
"9","Justin Hardy",3.93352721073487,"WR",3000,762.674271532377,0,Inf,90,34.7,-2.78,-0.8,"ATL"
"10","Will Fuller",6.30011331800267,"WR",3600,571.418293336557,0,Inf,80,53,1.25,-1.2,"HOU"
"11","Keith Mumphery",4.02492184027472,"WR",3000,745.356088652702,0,Inf,90,30.2,-2.28,-1.2,"HOU"
"12","DeAndre Hopkins",11.2093467835784,"WR",5800,517.425333695353,0,Inf,70,58.45,0.8,-1.2,"HOU"
"13","Chris Hogan",7.20703366488315,"WR",3900,541.138030061253,0,Inf,80,53.3,-0.24,-0.3,"NE"
"14","Danny Amendola",3.63778012028575,"WR",3500,962.125220400918,0,Inf,90,42.15,-1.63,-0.3,"NE"
"15","Michael Floyd",7.50740782058159,"WR",3800,506.166721032829,0,Inf,70,59.3,0.69,-0.3,"NE"
"16","Julian Edelman",15.2466665737776,"WR",6800,445.999128209125,0,Inf,8,79.35,2.51,-0.3,"NE"
"17","Antonio Brown",18.5344922835588,"WR",9600,517.953222194049,0,Inf,30,53.95,-0.91,-2.8,"PIT"
"18","Eli Rogers",8.30167903336466,"WR",3900,469.784483876792,0,Inf,80,55.7,1.06,-2.8,"PIT"
"19","Cobi Hamilton",4.438769972525,"WR",3000,675.862912151189,0,Inf,90,30.25,-2.38,-2.8,"PIT"
"20","Darrius Heyward-Bey",3.87249827940075,"WR",3000,774.693694754653,0,Inf,90,29,-2.48,-2.8,"PIT"
"21","Albert Wilson",3.9963173350908,"WR",3000,750.691135976027,0,Inf,90,32.15,-2.68,-0.3,"KC"
"22","Tyreek Hill",23.0095373418361,"WR",5500,239.031316375052,0,Inf,40,56.4,0.49,-0.3,"KC"
"23","Jeremy Maclin",8.3367470221202,"WR",4300,515.788710943327,0,Inf,70,65.3,1.84,-0.3,"KC"
"24","Chris Conley",6.56193507028642,"WR",3000,457.182213457814,0,Inf,80,54.05,0.82,-0.3,"KC"
"25","Jeff Janis",3.76126870096843,"WR",3000,797.603212774344,0,Inf,90,30.5,-2.68,-1.9,"GB"
"26","Randall Cobb",15.9188361217178,"WR",5700,358.066378497582,0,Inf,50,76.15,3.23,-1.9,"GB"
"27","Davante Adams",14.0301149698373,"WR",7000,498.92677394654,0,Inf,8,79.35,3.65,-1.9,"GB"
"28","Geronimo Allison",8.83367863540968,"WR",3900,441.492175679439,0,Inf,50,69.15,2.66,-1.9,"GB"
"29","Cole Beasley",10.6016499104146,"WR",5000,471.624703914079,0,Inf,70,67.65,0.73,2.7,"DAL"
"30","Terrance Williams",9.80803535554072,"WR",3100,316.067376148757,0,Inf,70,72.45,2.19,2.7,"DAL"
"31","Dez Bryant",13.8741666928007,"WR",6600,475.704245605233,0,Inf,30,76.95,1.67,2.7,"DAL"
